r0,entropy
0,0
0.01,0.000505212
0.02,0.00200711
0.03,0.00443731
0.04,0.00774228
0.05,0.0119072
0.06,0.016922
0.07,0.0225885
0.08,0.0290778
0.09,0.0361639
0.1,0.0438472
0.11,0.0522528
0.12,0.0610222
0.13,0.0703906
0.14,0.0802466
0.15,0.0905196
0.16,0.101093
0.17,0.112205
0.18,0.123384
0.19,0.134914
0.2,0.146794
0.21,0.158655
0.22,0.170864
0.23,0.183312
0.24,0.195743
0.25,0.208133
0.26,0.220718
0.27,0.232909
0.28,0.245886
0.29,0.258503
0.3,0.270616
0.31,0.283323
0.32,0.294916
0.33,0.306606
0.34,0.319163
0.35,0.330314
0.36,0.341636
0.37,0.352981
0.38,0.364145
0.39,0.374769
0.4,0.384785
0.41,0.394186
0.42,0.404338
0.43,0.413222
0.44,0.422283
0.45,0.430695
0.46,0.439188
0.47,0.446423
0.48,0.45392
0.49,0.461181
0.5,0.46733
0.51,0.473664
0.52,0.47922
0.53,0.485152
0.54,0.490463
0.55,0.495241
0.56,0.499577
0.57,0.503409
0.58,0.506857
0.59,0.510854
0.6,0.513749
0.61,0.516827
0.62,0.518922
0.63,0.520868
0.64,0.522881
0.65,0.524441
0.66,0.525774
0.67,0.526942
0.68,0.52766
0.69,0.528013
0.7,0.528314
0.71,0.528595
0.72,0.52871
0.73,0.528408
0.74,0.528315
0.75,0.527716
0.76,0.526742
0.77,0.526014
0.78,0.524932
0.79,0.523736
0.8,0.522242
0.81,0.521103
0.82,0.519573
0.83,0.517627
0.84,0.516179
0.85,0.514291
0.86,0.512263
0.87,0.510427
0.88,0.508069
0.89,0.50561
0.9,0.503935
0.91,0.501548
0.92,0.499028
0.93,0.496722
0.94,0.494137
0.95,0.491574
0.96,0.489123
0.97,0.48625
0.98,0.483681
0.99,0.481122
