r0,entropy
0,0
0.01,0.000254626
0.02,0.00101374
0.03,0.00223192
0.04,0.0039304
0.05,0.00605063
0.06,0.00863491
0.07,0.011579
0.08,0.0149525
0.09,0.0186532
0.1,0.0227375
0.11,0.0271121
0.12,0.0318424
0.13,0.0369137
0.14,0.0421725
0.15,0.047745
0.16,0.0536897
0.17,0.0596923
0.18,0.066038
0.19,0.0724207
0.2,0.0790737
0.21,0.0859219
0.22,0.0928748
0.23,0.100174
0.24,0.107334
0.25,0.114744
0.26,0.122254
0.27,0.130059
0.28,0.137473
0.29,0.145338
0.3,0.153006
0.31,0.160765
0.32,0.168524
0.33,0.176146
0.34,0.184187
0.35,0.191817
0.36,0.199639
0.37,0.207219
0.38,0.215039
0.39,0.222515
0.4,0.229944
0.41,0.237481
0.42,0.244526
0.43,0.252171
0.44,0.259257
0.45,0.266149
0.46,0.272848
0.47,0.279561
0.48,0.285882
0.49,0.29213
0.5,0.298368
0.51,0.304468
0.52,0.309828
0.53,0.315408
0.54,0.320742
0.55,0.325361
0.56,0.330212
0.57,0.334739
0.58,0.339407
0.59,0.343427
0.6,0.347052
0.61,0.350583
0.62,0.353776
0.63,0.356985
0.64,0.359631
0.65,0.361636
0.66,0.363916
0.67,0.365646
0.68,0.367202
0.69,0.368426
0.7,0.368988
0.71,0.369794
0.72,0.369711
0.73,0.369832
0.74,0.369872
0.75,0.369123
0.76,0.368132
0.77,0.36707
0.78,0.365286
0.79,0.363916
0.8,0.362166
0.81,0.360182
0.82,0.357763
0.83,0.355482
0.84,0.352812
0.85,0.349956
0.86,0.346689
0.87,0.343089
0.88,0.340207
0.89,0.336738
0.9,0.332798
0.91,0.329226
0.92,0.325589
0.93,0.321502
0.94,0.317436
0.95,0.313717
0.96,0.309182
0.97,0.305717
0.98,0.301516
0.99,0.297
