r0,entropy
0,0
0.01,0.000171515
0.02,0.000687071
0.03,0.00148646
0.04,0.00264828
0.05,0.00406606
0.06,0.00588323
0.07,0.00790808
0.08,0.0101473
0.09,0.0128129
0.1,0.0156206
0.11,0.018624
0.12,0.0219368
0.13,0.0253349
0.14,0.0293139
0.15,0.0332123
0.16,0.0372382
0.17,0.0417434
0.18,0.0461301
0.19,0.0509907
0.2,0.0555333
0.21,0.0604164
0.22,0.0659253
0.23,0.0711281
0.24,0.0765297
0.25,0.0818382
0.26,0.088238
0.27,0.0936392
0.28,0.0989081
0.29,0.105399
0.3,0.111294
0.31,0.116921
0.32,0.123872
0.33,0.129196
0.34,0.136533
0.35,0.142359
0.36,0.149011
0.37,0.154827
0.38,0.161885
0.39,0.168449
0.4,0.174663
0.41,0.180936
0.42,0.187878
0.43,0.194111
0.44,0.201392
0.45,0.208187
0.46,0.215571
0.47,0.221758
0.48,0.228716
0.49,0.234825
0.5,0.241743
0.51,0.248592
0.52,0.254956
0.53,0.262691
0.54,0.269881
0.55,0.275989
0.56,0.282631
0.57,0.288338
0.58,0.295728
0.59,0.301916
0.6,0.30836
0.61,0.315367
0.62,0.321179
0.63,0.329713
0.64,0.334363
0.65,0.341074
0.66,0.346815
0.67,0.355018
0.68,0.359591
0.69,0.364346
0.7,0.371342
0.71,0.376707
0.72,0.382842
0.73,0.389345
0.74,0.393557
0.75,0.399672
0.76,0.404773
0.77,0.409118
0.78,0.414674
0.79,0.420899
0.8,0.425703
0.81,0.429917
0.82,0.435355
0.83,0.44029
0.84,0.444946
0.85,0.448582
0.86,0.453434
0.87,0.456477
0.88,0.460151
0.89,0.465146
0.9,0.468917
0.91,0.472682
0.92,0.474584
0.93,0.478852
0.94,0.482201
0.95,0.485299
0.96,0.488985
0.97,0.492433
0.98,0.495083
0.99,0.497028
