r,theta,mass
0.02,0.69,0.570205
0.02,0.7,0.569911
0.02,0.71,0.570668
0.02,0.72,0.570869
0.02,0.73,0.569581
0.02,0.74,0.569852
0.02,0.75,0.57018
0.02,0.76,0.5709
0.02,0.77,0.570781
0.02,0.78,0.570613
0.03,0,0.567746
0.03,0.01,0.566818
0.03,0.02,0.566005
0.03,0.03,0.566761
0.03,0.04,0.566069
0.03,0.05,0.565892
0.03,0.06,0.566716
0.03,0.07,0.565406
0.03,0.08,0.565378
0.03,0.09,0.566375
0.03,0.1,0.564823
0.03,0.11,0.564254
0.03,0.12,0.565291
0.03,0.13,0.565493
0.03,0.14,0.566464
0.03,0.15,0.566188
0.03,0.16,0.565583
0.03,0.17,0.565563
0.03,0.18,0.565209
0.03,0.19,0.565102
0.03,0.2,0.566565
0.03,0.21,0.566053
0.03,0.22,0.564722
0.03,0.23,0.564962
0.03,0.24,0.566009
0.03,0.25,0.565653
0.03,0.26,0.565664
0.03,0.27,0.564787
0.03,0.28,0.565316
0.03,0.29,0.564444
0.03,0.3,0.56396
0.03,0.31,0.56453
0.03,0.32,0.566343
0.03,0.33,0.565795
0.03,0.34,0.565545
0.03,0.35,0.564545
0.03,0.36,0.565406
0.03,0.37,0.564979
0.03,0.38,0.566122
0.03,0.39,0.564662
0.03,0.4,0.564374
0.03,0.41,0.565312
0.03,0.42,0.564156
0.03,0.43,0.565216
0.03,0.44,0.565419
0.03,0.45,0.564333
0.03,0.46,0.564873
0.03,0.47,0.565179
0.03,0.48,0.565062
0.03,0.49,0.564849
0.03,0.5,0.565744
0.03,0.51,0.566035
0.03,0.52,0.565194
0.03,0.53,0.565916
0.03,0.54,0.565127
0.03,0.55,0.564999
0.03,0.56,0.563913
0.03,0.57,0.565086
0.03,0.58,0.566008
0.03,0.59,0.565572
0.03,0.6,0.565463
0.03,0.61,0.567042
0.03,0.62,0.564096
0.03,0.63,0.56531
0.03,0.64,0.565046
0.03,0.65,0.564634
0.03,0.66,0.566117
0.03,0.67,0.566185
0.03,0.68,0.565837
0.03,0.69,0.565357
0.03,0.7,0.566447
0.03,0.71,0.566402
0.03,0.72,0.566097
0.03,0.73,0.566321
0.03,0.74,0.56605
0.03,0.75,0.565355
0.03,0.76,0.56645
0.03,0.77,0.566269
0.03,0.78,0.566248
0.04,0,0.562624
0.04,0.01,0.56311
0.04,0.02,0.560764
0.04,0.03,0.562044
0.04,0.04,0.561351
0.04,0.05,0.561289
0.04,0.06,0.561862
0.04,0.07,0.561646
0.04,0.08,0.561634
0.04,0.09,0.561949
0.04,0.1,0.561776
0.04,0.11,0.560794
0.04,0.12,0.560519
0.04,0.13,0.561393
0.04,0.14,0.56075
0.04,0.15,0.560707
0.04,0.16,0.562198
0.04,0.17,0.561457
0.04,0.18,0.560323
0.04,0.19,0.560935
0.04,0.2,0.561732
0.04,0.21,0.560011
0.04,0.22,0.560264
0.04,0.23,0.561075
0.04,0.24,0.5607
0.04,0.25,0.5607
0.04,0.26,0.560403
0.04,0.27,0.561008
0.04,0.28,0.559638
0.04,0.29,0.560175
0.04,0.3,0.559622
0.04,0.31,0.560526
0.04,0.32,0.560345
0.04,0.33,0.560399
0.04,0.34,0.560166
0.04,0.35,0.560537
0.04,0.36,0.55957
0.04,0.37,0.560602
0.04,0.38,0.56081
0.04,0.39,0.560247
0.04,0.4,0.560956
0.04,0.41,0.560058
0.04,0.42,0.560247
0.04,0.43,0.559833
0.04,0.44,0.559916
0.04,0.45,0.560059
0.04,0.46,0.559261
0.04,0.47,0.560906
0.04,0.48,0.55989
0.04,0.49,0.561086
0.04,0.5,0.561601
0.04,0.51,0.56096
0.04,0.52,0.560136
0.04,0.53,0.560795
0.04,0.54,0.559958
0.04,0.55,0.560287
0.04,0.56,0.560069
0.04,0.57,0.559681
0.04,0.58,0.561294
0.04,0.59,0.560864
0.04,0.6,0.561122
0.04,0.61,0.560928
0.04,0.62,0.560894
0.04,0.63,0.561457
0.04,0.64,0.561103
0.04,0.65,0.561929
0.04,0.66,0.56151
0.04,0.67,0.560025
0.04,0.68,0.56089
0.04,0.69,0.560633
0.04,0.7,0.561451
0.04,0.71,0.560929
0.04,0.72,0.561178
0.04,0.73,0.561944
0.04,0.74,0.561776
0.04,0.75,0.561295
0.04,0.76,0.561975
0.04,0.77,0.562538
0.04,0.78,0.562168
0.05,0,0.556768
0.05,0.01,0.557284
0.05,0.02,0.556462
