r,theta,mass
0,0,0.00441713
0,0.01,0.00425619
0,0.02,0.00442562
0,0.03,0.00397801
0,0.04,0.00407403
0,0.05,0.00382565
0,0.06,0.00435048
0,0.07,0.00377346
0,0.08,0.00360032
0,0.09,0.00354679
0,0.1,0.00419982
0,0.11,0.00524116
0,0.12,0.00451396
0,0.13,0.00471512
0,0.14,0.0038402
0,0.15,0.00386971
0,0.16,0.00379064
0,0.17,0.00440161
0,0.18,0.00448281
0,0.19,0.00382806
0,0.2,0.00441054
0,0.21,0.00524935
0,0.22,0.00422194
0,0.23,0.00389659
0,0.24,0.00433166
0,0.25,0.00444539
0,0.26,0.0039856
0,0.27,0.00450618
0,0.28,0.00339386
0,0.29,0.00416927
0,0.3,0.00412666
0,0.31,0.00398803
0,0.32,0.00414037
0,0.33,0.00545219
0,0.34,0.0043693
0,0.35,0.00406895
0,0.36,0.00371736
0,0.37,0.00336322
0,0.38,0.00437949
0,0.39,0.00386877
0,0.4,0.00408169
0,0.41,0.00410976
0,0.42,0.00410056
0,0.43,0.00454542
0,0.44,0.00390996
0,0.45,0.00432
0,0.46,0.00358534
0,0.47,0.00507858
0,0.48,0.00442474
0,0.49,0.00438831
0,0.5,0.00465168
0,0.51,0.00409781
0,0.52,0.00361508
0,0.53,0.00354872
0,0.54,0.00449493
0,0.55,0.00388342
0,0.56,0.00363287
0,0.57,0.00491241
0,0.58,0.00366755
0,0.59,0.00382942
0,0.6,0.00439505
0,0.61,0.00356778
0,0.62,0.00327279
0,0.63,0.00440083
0,0.64,0.00438833
0,0.65,0.00322961
0,0.66,0.00361428
0,0.67,0.00458699
0,0.68,0.0052103
0,0.69,0.00460739
0,0.7,0.00345624
0,0.71,0.00461569
0,0.72,0.0045425
0,0.73,0.00414532
0,0.74,0.00396134
0,0.75,0.00444058
0,0.76,0.00422082
0,0.77,0.00369905
0,0.78,0.00378357
0.01,0,0.0042629
0.01,0.01,0.00476535
0.01,0.02,0.00528158
0.01,0.03,0.00491562
0.01,0.04,0.00462839
0.01,0.05,0.00477675
0.01,0.06,0.00484214
0.01,0.07,0.00473067
0.01,0.08,0.00468695
0.01,0.09,0.00496588
0.01,0.1,0.00438051
0.01,0.11,0.00494815
0.01,0.12,0.0045414
0.01,0.13,0.00550198
0.01,0.14,0.00537662
0.01,0.15,0.00444503
0.01,0.16,0.00468312
0.01,0.17,0.00459881
0.01,0.18,0.00537552
0.01,0.19,0.00441961
0.01,0.2,0.00430263
0.01,0.21,0.00477645
0.01,0.22,0.00460208
0.01,0.23,0.00462309
0.01,0.24,0.00589495
0.01,0.25,0.00482731
0.01,0.26,0.00508787
0.01,0.27,0.00420732
0.01,0.28,0.00547905
0.01,0.29,0.00493482
0.01,0.3,0.00532752
0.01,0.31,0.0055352
0.01,0.32,0.0047414
0.01,0.33,0.00471232
0.01,0.34,0.00526912
0.01,0.35,0.00515904
0.01,0.36,0.00604635
0.01,0.37,0.00540659
0.01,0.38,0.00553483
0.01,0.39,0.0047391
0.01,0.4,0.00554898
0.01,0.41,0.004565
0.01,0.42,0.00427453
0.01,0.43,0.00538795
0.01,0.44,0.00593851
0.01,0.45,0.00458121
0.01,0.46,0.00487923
0.01,0.47,0.00482932
0.01,0.48,0.00421511
0.01,0.49,0.00499552
0.01,0.5,0.00464867
0.01,0.51,0.00498263
0.01,0.52,0.00489758
0.01,0.53,0.004594
0.01,0.54,0.00539843
0.01,0.55,0.00577423
0.01,0.56,0.00515038
0.01,0.57,0.00541779
0.01,0.58,0.00500799
0.01,0.59,0.00484026
0.01,0.6,0.00498544
0.01,0.61,0.0046639
0.01,0.62,0.00478032
0.01,0.63,0.0042919
0.01,0.64,0.00497966
0.01,0.65,0.00469816
0.01,0.66,0.0047143
0.01,0.67,0.00500046
0.01,0.68,0.00455189
0.01,0.69,0.00449467
0.01,0.7,0.00464215
0.01,0.71,0.00470488
0.01,0.72,0.0044878
0.01,0.73,0.00453446
0.01,0.74,0.00534624
0.01,0.75,0.00456402
0.01,0.76,0.00485503
0.01,0.77,0.00520197
0.01,0.78,0.00519306
0.02,0,0.00529847
0.02,0.01,0.00519954
0.02,0.02,0.00594361
0.02,0.03,0.00553154
0.02,0.04,0.00564287
0.02,0.05,0.00579038
0.02,0.06,0.00658407
0.02,0.07,0.00671646
0.02,0.08,0.00555522
0.02,0.09,0.00596801
0.02,0.1,0.00571786
0.02,0.11,0.00580939
0.02,0.12,0.00581879
0.02,0.13,0.00537274
0.02,0.14,0.00595804
0.02,0.15,0.00557604
0.02,0.16,0.00603832
0.02,0.17,0.00501994
0.02,0.18,0.00551687
0.02,0.19,0.00603978
0.02,0.2,0.00532515
0.02,0.21,0.00552869
0.02,0.22,0.00544315
0.02,0.23,0.00498559
0.02,0.24,0.00528573
0.02,0.25,0.00591417
0.02,0.26,0.00595943
0.02,0.27,0.00588504
0.02,0.28,0.0048817
0.02,0.29,0.00533526
0.02,0.3,0.00506447
0.02,0.31,0.00578174
0.02,0.32,0.00659193
0.02,0.33,0.00596724
0.02,0.34,0.00541663
0.02,0.35,0.00515432
0.02,0.36,0.00577002
0.02,0.37,0.00571691
0.02,0.38,0.00551239
0.02,0.39,0.00680084
0.02,0.4,0.00568383
0.02,0.41,0.00513339
0.02,0.42,0.00540326
0.02,0.43,0.00602687
0.02,0.44,0.00520031
0.02,0.45,0.00519125
0.02,0.46,0.0056608
0.02,0.47,0.00522686
0.02,0.48,0.00506988
0.02,0.49,0.00560038
0.02,0.5,0.00588701
0.02,0.51,0.00575615
0.02,0.52,0.00577673
0.02,0.53,0.00606691
0.02,0.54,0.00629229
0.02,0.55,0.0057987
0.02,0.56,0.00527293
0.02,0.57,0.00565727
0.02,0.58,0.00499696
0.02,0.59,0.00482582
0.02,0.6,0.00594525
0.02,0.61,0.00590373
0.02,0.62,0.00671571
0.02,0.63,0.00565129
0.02,0.64,0.00576731
0.02,0.65,0.00562957
0.02,0.66,0.00627319
0.02,0.67,0.00520972
0.02,0.68,0.00486785
0.02,0.69,0.00686962
0.02,0.7,0.00579002
0.02,0.71,0.00490656
0.02,0.72,0.00564674
0.02,0.73,0.00618849
0.02,0.74,0.00587479
0.02,0.75,0.00637029
0.02,0.76,0.00511937
0.02,0.77,0.00566288
0.02,0.78,0.0059194
0.03,0,0.00705168
0.03,0.01,0.00619556
0.03,0.02,0.00616945
0.03,0.03,0.00737003
0.03,0.04,0.00704135
0.03,0.05,0.00752006
0.03,0.06,0.00620039
0.03,0.07,0.00666156
0.03,0.08,0.00568559
0.03,0.09,0.00586572
0.03,0.1,0.00720124
0.03,0.11,0.00659968
0.03,0.12,0.00681852
0.03,0.13,0.00586509
0.03,0.14,0.00635032
0.03,0.15,0.00598639
0.03,0.16,0.00712691
0.03,0.17,0.00710587
0.03,0.18,0.00724384
0.03,0.19,0.00634519
0.03,0.2,0.00645937
0.03,0.21,0.00735759
0.03,0.22,0.0067881
0.03,0.23,0.00670461
0.03,0.24,0.00600798
0.03,0.25,0.00703955
0.03,0.26,0.00713678
0.03,0.27,0.00657132
0.03,0.28,0.00739812
0.03,0.29,0.00640945
0.03,0.3,0.00743037
0.03,0.31,0.00644377
0.03,0.32,0.0067233
0.03,0.33,0.00662764
0.03,0.34,0.00624143
0.03,0.35,0.00710615
0.03,0.36,0.00654263
0.03,0.37,0.0064008
0.03,0.38,0.00718345
0.03,0.39,0.00687043
0.03,0.4,0.006416
0.03,0.41,0.00725429
0.03,0.42,0.00665514
0.03,0.43,0.00650428
0.03,0.44,0.00639204
0.03,0.45,0.00664387
0.03,0.46,0.00666035
0.03,0.47,0.00609888
0.03,0.48,0.00613183
0.03,0.49,0.00706245
0.03,0.5,0.00716067
0.03,0.51,0.00870769
0.03,0.52,0.00675458
0.03,0.53,0.00576043
0.03,0.54,0.00677193
0.03,0.55,0.00639676
0.03,0.56,0.00739931
0.03,0.57,0.00706442
0.03,0.58,0.00682201
0.03,0.59,0.00718853
0.03,0.6,0.00690675
0.03,0.61,0.00658111
0.03,0.62,0.00680725
0.03,0.63,0.0060221
0.03,0.64,0.00628495
0.03,0.65,0.00834052
0.03,0.66,0.00702734
0.03,0.67,0.00677935
0.03,0.68,0.00616059
0.03,0.69,0.00720198
0.03,0.7,0.00750553
0.03,0.71,0.0057448
0.03,0.72,0.0067075
0.03,0.73,0.00599616
0.03,0.74,0.00643927
0.03,0.75,0.00642074
0.03,0.76,0.00625275
0.03,0.77,0.00662918
0.03,0.78,0.00678494
0.04,0,0.00717259
0.04,0.01,0.00834279
0.04,0.02,0.00776495
0.04,0.03,0.00726225
0.04,0.04,0.00751828
0.04,0.05,0.00743294
0.04,0.06,0.00843899
0.04,0.07,0.00864086
0.04,0.08,0.00810007
0.04,0.09,0.00758912
0.04,0.1,0.00823844
0.04,0.11,0.00744014
0.04,0.12,0.00728519
0.04,0.13,0.00760835
0.04,0.14,0.00855879
0.04,0.15,0.00840625
0.04,0.16,0.00894927
0.04,0.17,0.00743509
0.04,0.18,0.00848631
0.04,0.19,0.00823736
0.04,0.2,0.00739131
0.04,0.21,0.00845866
0.04,0.22,0.00714185
0.04,0.23,0.0080548
0.04,0.24,0.00787744
0.04,0.25,0.007114
0.04,0.26,0.00846714
0.04,0.27,0.00814871
0.04,0.28,0.00719427
0.04,0.29,0.00757807
0.04,0.3,0.00897089
0.04,0.31,0.00622197
0.04,0.32,0.00800878
0.04,0.33,0.00793326
0.04,0.34,0.00832762
0.04,0.35,0.00762651
0.04,0.36,0.00804934
0.04,0.37,0.00827193
0.04,0.38,0.00739991
0.04,0.39,0.00720432
0.04,0.4,0.00844542
0.04,0.41,0.00862945
0.04,0.42,0.00802717
0.04,0.43,0.00746071
0.04,0.44,0.00800658
0.04,0.45,0.00788303
0.04,0.46,0.0076223
0.04,0.47,0.00762593
0.04,0.48,0.00765196
0.04,0.49,0.00794074
0.04,0.5,0.00755411
0.04,0.51,0.00809487
0.04,0.52,0.00779834
0.04,0.53,0.00829375
0.04,0.54,0.00738197
0.04,0.55,0.00702843
0.04,0.56,0.00800714
0.04,0.57,0.00779108
0.04,0.58,0.00766786
0.04,0.59,0.00823212
0.04,0.6,0.00766192
0.04,0.61,0.00718671
0.04,0.62,0.00819912
0.04,0.63,0.00798711
0.04,0.64,0.00736773
0.04,0.65,0.00792878
0.04,0.66,0.007004
0.04,0.67,0.00815568
0.04,0.68,0.00896082
0.04,0.69,0.0071363
0.04,0.7,0.00851051
0.04,0.71,0.00762293
0.04,0.72,0.00799784
0.04,0.73,0.00797145
0.04,0.74,0.00786618
0.04,0.75,0.00806186
0.04,0.76,0.00743459
0.04,0.77,0.0089788
0.04,0.78,0.00709927
0.05,0,0.0103243
0.05,0.01,0.00919964
0.05,0.02,0.00876321
0.05,0.03,0.00963114
0.05,0.04,0.00860944
0.05,0.05,0.00817628
0.05,0.06,0.00937949
0.05,0.07,0.00887584
0.05,0.08,0.00862267
0.05,0.09,0.0086503
0.05,0.1,0.00877856
0.05,0.11,0.0093758
0.05,0.12,0.00926999
0.05,0.13,0.00962275
0.05,0.14,0.00997257
0.05,0.15,0.00861381
0.05,0.16,0.00955191
0.05,0.17,0.0105585
0.05,0.18,0.00926269
0.05,0.19,0.0093201
0.05,0.2,0.00956042
0.05,0.21,0.00897055
0.05,0.22,0.00891134
0.05,0.23,0.0088537
0.05,0.24,0.00832384
0.05,0.25,0.00910996
0.05,0.26,0.00912186
0.05,0.27,0.0102006
0.05,0.28,0.00875475
0.05,0.29,0.0105053
0.05,0.3,0.0088995
0.05,0.31,0.00851113
0.05,0.32,0.00888542
0.05,0.33,0.00980574
0.05,0.34,0.0101543
0.05,0.35,0.00987292
0.05,0.36,0.0101602
0.05,0.37,0.00881655
0.05,0.38,0.00852373
0.05,0.39,0.00909998
0.05,0.4,0.00777741
0.05,0.41,0.00909301
0.05,0.42,0.0102964
0.05,0.43,0.00927126
0.05,0.44,0.0100497
0.05,0.45,0.00944921
0.05,0.46,0.00843221
0.05,0.47,0.00965416
0.05,0.48,0.0096408
0.05,0.49,0.00882431
0.05,0.5,0.0102725
0.05,0.51,0.00856034
0.05,0.52,0.0101912
0.05,0.53,0.00946711
0.05,0.54,0.00966376
0.05,0.55,0.00855895
0.05,0.56,0.00812451
0.05,0.57,0.00831337
0.05,0.58,0.00907676
0.05,0.59,0.0092053
0.05,0.6,0.00903706
0.05,0.61,0.00914702
0.05,0.62,0.00813652
0.05,0.63,0.00821209
0.05,0.64,0.00922291
0.05,0.65,0.00932395
0.05,0.66,0.00914845
0.05,0.67,0.00933503
0.05,0.68,0.00948968
0.05,0.69,0.00884314
0.05,0.7,0.00914239
0.05,0.71,0.00977565
0.05,0.72,0.00837427
0.05,0.73,0.00842913
0.05,0.74,0.00812531
0.05,0.75,0.00844665
0.05,0.76,0.0088688
0.05,0.77,0.00954678
0.05,0.78,0.00887039
0.06,0,0.00990595
0.06,0.01,0.0107549
0.06,0.02,0.00910002
0.06,0.03,0.0109073
0.06,0.04,0.0105748
0.06,0.05,0.0101612
0.06,0.06,0.0106322
0.06,0.07,0.0107973
0.06,0.08,0.0110818
0.06,0.09,0.0107353
0.06,0.1,0.0104445
0.06,0.11,0.0113897
0.06,0.12,0.00993814
0.06,0.13,0.0103165
0.06,0.14,0.010429
0.06,0.15,0.0104033
0.06,0.16,0.0109774
0.06,0.17,0.0119465
0.06,0.18,0.0108436
0.06,0.19,0.0113566
0.06,0.2,0.0115951
0.06,0.21,0.0115533
0.06,0.22,0.00935735
0.06,0.23,0.00993918
0.06,0.24,0.0104643
0.06,0.25,0.0127805
0.06,0.26,0.0109658
0.06,0.27,0.0105253
0.06,0.28,0.00945038
0.06,0.29,0.0104615
0.06,0.3,0.0103035
0.06,0.31,0.0104067
0.06,0.32,0.0101849
0.06,0.33,0.0103863
0.06,0.34,0.0105359
0.06,0.35,0.01141
0.06,0.36,0.0104556
0.06,0.37,0.011906
0.06,0.38,0.0117262
0.06,0.39,0.00998654
0.06,0.4,0.00909897
0.06,0.41,0.0104194
0.06,0.42,0.0108264
0.06,0.43,0.0100708
0.06,0.44,0.0106709
0.06,0.45,0.0110697
0.06,0.46,0.00961463
0.06,0.47,0.0104653
0.06,0.48,0.0100967
0.06,0.49,0.0102199
0.06,0.5,0.0107146
0.06,0.51,0.0103276
0.06,0.52,0.0109163
0.06,0.53,0.0108942
0.06,0.54,0.0106753
0.06,0.55,0.0112526
0.06,0.56,0.0104758
0.06,0.57,0.0105601
0.06,0.58,0.00926891
0.06,0.59,0.00974889
0.06,0.6,0.01132
0.06,0.61,0.0114456
0.06,0.62,0.0107278
0.06,0.63,0.0111722
0.06,0.64,0.0116514
0.06,0.65,0.00988701
0.06,0.66,0.0119904
0.06,0.67,0.0103772
0.06,0.68,0.0113007
0.06,0.69,0.00990744
0.06,0.7,0.0099412
0.06,0.71,0.0113086
0.06,0.72,0.00963763
0.06,0.73,0.0118216
0.06,0.74,0.0110434
0.06,0.75,0.0116737
0.06,0.76,0.00898591
0.06,0.77,0.010117
0.06,0.78,0.0104831
0.07,0,0.0118736
0.07,0.01,0.0119556
0.07,0.02,0.0133563
0.07,0.03,0.0138063
0.07,0.04,0.0112227
0.07,0.05,0.0127548
0.07,0.06,0.0123509
0.07,0.07,0.0129281
0.07,0.08,0.011719
0.07,0.09,0.0122996
0.07,0.1,0.0133594
0.07,0.11,0.0108662
0.07,0.12,0.0120865
0.07,0.13,0.0115069
0.07,0.14,0.0111765
0.07,0.15,0.0113234
0.07,0.16,0.0130875
0.07,0.17,0.0130102
0.07,0.18,0.0119844
0.07,0.19,0.0120368
0.07,0.2,0.0121466
0.07,0.21,0.0135014
0.07,0.22,0.0117076
0.07,0.23,0.0118665
0.07,0.24,0.0118586
0.07,0.25,0.0112811
0.07,0.26,0.0115613
0.07,0.27,0.0114266
0.07,0.28,0.0140014
0.07,0.29,0.0131926
0.07,0.3,0.012184
0.07,0.31,0.0126613
0.07,0.32,0.0118486
0.07,0.33,0.0121849
0.07,0.34,0.0119044
0.07,0.35,0.012202
0.07,0.36,0.0133951
0.07,0.37,0.0141348
0.07,0.38,0.0122727
0.07,0.39,0.0124946
0.07,0.4,0.0127708
0.07,0.41,0.0118388
0.07,0.42,0.0113145
0.07,0.43,0.0133708
0.07,0.44,0.0119972
0.07,0.45,0.0121405
0.07,0.46,0.0115423
0.07,0.47,0.0115041
0.07,0.48,0.0116616
0.07,0.49,0.0120373
0.07,0.5,0.0137773
0.07,0.51,0.0127843
0.07,0.52,0.0117229
0.07,0.53,0.0120229
0.07,0.54,0.0122407
0.07,0.55,0.012378
0.07,0.56,0.0122214
0.07,0.57,0.0120189
0.07,0.58,0.0133899
0.07,0.59,0.0115356
0.07,0.6,0.0135986
0.07,0.61,0.0123778
0.07,0.62,0.012859
0.07,0.63,0.0112657
0.07,0.64,0.0115142
0.07,0.65,0.0118797
0.07,0.66,0.0135414
0.07,0.67,0.0116516
0.07,0.68,0.0111376
0.07,0.69,0.012241
0.07,0.7,0.0131061
0.07,0.71,0.0116126
0.07,0.72,0.0115499
0.07,0.73,0.0127591
0.07,0.74,0.012125
0.07,0.75,0.0118668
0.07,0.76,0.0112269
0.07,0.77,0.0118948
0.07,0.78,0.0122813
0.08,0,0.0124346
0.08,0.01,0.0136374
0.08,0.02,0.0120537
0.08,0.03,0.0131759
0.08,0.04,0.0114916
0.08,0.05,0.0131426
0.08,0.06,0.0119057
0.08,0.07,0.0146527
0.08,0.08,0.0139276
0.08,0.09,0.0150303
0.08,0.1,0.0129256
0.08,0.11,0.0134459
0.08,0.12,0.0132324
0.08,0.13,0.0128218
0.08,0.14,0.0147817
0.08,0.15,0.0141283
0.08,0.16,0.0145794
0.08,0.17,0.0125067
0.08,0.18,0.0124514
0.08,0.19,0.0144142
0.08,0.2,0.0135069
0.08,0.21,0.0126068
0.08,0.22,0.0136914
0.08,0.23,0.0130635
0.08,0.24,0.0130459
0.08,0.25,0.014799
0.08,0.26,0.0148158
0.08,0.27,0.0145757
