r0,entropy
0.001,0
0.0011,0
0.00121,0
0.001331,2.0202e-07
0.0014641,4.44444e-06
0.00161051,0.000111111
0.00177156,0.000732323
0.00194872,0.00251313
0.00214359,0.00524242
0.00235795,0.00816162
0.00259374,0.01014
0.00285312,0.0108323
0.00313843,0.0103992
0.00345227,0.00942828
0.0037975,0.00874121
0.00417725,0.00840121
0.00459497,0.00864424
0.00505447,0.00884929
0.00555992,0.00967515
0.00611591,0.0109438
0.0067275,0.0130913
0.00740025,0.0150954
0.00814027,0.0167665
0.0089543,0.0175766
0.00984973,0.0177598
0.0108347,0.0176356
0.0119182,0.0173903
0.01311,0.0173333
0.014421,0.01792
0.0158631,0.0188477
0.0174494,0.0209095
0.0191943,0.0240889
0.0211138,0.0277273
0.0232252,0.0313374
0.0255477,0.0338358
0.0281024,0.035144
0.0309127,0.0355665
0.0340039,0.0348501
0.0374043,0.0345782
0.0411448,0.0352071
0.0452593,0.0361309
0.0497852,0.0389535
0.0547637,0.0440943
0.0602401,0.0509509
0.0662641,0.0585091
0.0728905,0.0652586
0.0801795,0.0691731
0.0881975,0.070762
0.0970172,0.070496
0.106719,0.0691909
0.117391,0.0696992
0.12913,0.0710465
0.142043,0.0745166
0.156247,0.0816584
0.171872,0.0933273
0.189059,0.107851
0.207965,0.12208
0.228762,0.133461
0.251638,0.140089
0.276801,0.141467
0.304482,0.140388
0.33493,0.139177
0.368423,0.139865
0.405265,0.144532
0.445792,0.152729
0.490371,0.170234
0.539408,0.195697
0.593349,0.226437
0.652683,0.253784
0.717952,0.272324
0.789747,0.276391
0.868722,0.266923
0.955594,0.242944
