r0,entropy
0,0
0.01,0.000219394
0.02,0.000837778
0.03,0.00185737
0.04,0.00327495
0.05,0.00511374
0.06,0.0071402
0.07,0.00958869
0.08,0.0121907
0.09,0.0152687
0.1,0.0185063
0.11,0.0220994
0.12,0.0255853
0.13,0.0297192
0.14,0.0335911
0.15,0.0380681
0.16,0.0422174
0.17,0.0465931
0.18,0.0510364
0.19,0.0557564
0.2,0.0606206
0.21,0.0654388
0.22,0.0701788
0.23,0.0747941
0.24,0.0797392
0.25,0.0844192
0.26,0.0892707
0.27,0.0944261
0.28,0.0988125
0.29,0.103915
0.3,0.108486
0.31,0.113113
0.32,0.11804
0.33,0.12233
0.34,0.127304
0.35,0.131725
0.36,0.13623
0.37,0.141249
0.38,0.145982
0.39,0.150227
0.4,0.154841
0.41,0.159406
0.42,0.164346
0.43,0.168998
0.44,0.173377
0.45,0.178125
0.46,0.182755
0.47,0.187817
0.48,0.192129
0.49,0.197335
0.5,0.202129
0.51,0.206826
0.52,0.211828
0.53,0.216847
0.54,0.22214
0.55,0.22708
0.56,0.232534
0.57,0.237527
0.58,0.241846
0.59,0.248182
0.6,0.253479
0.61,0.258569
0.62,0.264711
0.63,0.269271
0.64,0.275641
0.65,0.280589
0.66,0.28651
0.67,0.291472
0.68,0.297893
0.69,0.303647
0.7,0.308641
0.71,0.313506
0.72,0.320878
0.73,0.325616
0.74,0.331138
0.75,0.337927
0.76,0.342556
0.77,0.348019
0.78,0.353748
0.79,0.359176
0.8,0.364622
0.81,0.37027
0.82,0.375294
0.83,0.381363
0.84,0.385948
0.85,0.391561
0.86,0.395772
0.87,0.399611
0.88,0.405231
0.89,0.409898
0.9,0.414974
0.91,0.419799
0.92,0.424528
0.93,0.428672
0.94,0.433319
0.95,0.437313
0.96,0.441099
0.97,0.446511
0.98,0.449788
0.99,0.453424
