r0,entropy
0.0001,0.00929293
0.00011,0.010676
0.000121,0.010657
0.0001331,0.00984465
0.00014641,0.00848485
0.000161051,0.00700869
0.000177156,0.00563374
0.000194872,0.00435737
0.000214359,0.00337859
0.000235795,0.00253414
0.000259374,0.00189051
0.000285312,0.0014499
0.000313843,0.00109354
0.000345227,0.000986263
0.00037975,0.00148909
0.000417725,0.00308869
0.000459497,0.00591354
0.000505447,0.0101358
0.000555992,0.0144246
0.000611591,0.0179131
0.00067275,0.0198911
0.000740025,0.0200465
0.000814027,0.0186618
0.00089543,0.0160933
0.000984973,0.0135004
0.00108347,0.010822
0.00119182,0.0085899
0.001311,0.00668404
0.0014421,0.00503939
0.00158631,0.00376323
0.00174494,0.00281313
0.00191943,0.0021802
0.00211138,0.00213939
0.00232252,0.00343172
0.00255477,0.00689879
0.00281024,0.0130919
0.00309127,0.0216206
0.00340039,0.0302703
0.00374043,0.0369061
0.00411448,0.0400174
0.00452593,0.0394404
0.00497852,0.0365077
0.00547637,0.0316267
0.00602401,0.0261319
0.00662641,0.0210048
0.00728905,0.0165756
0.00801795,0.0127531
0.00881975,0.00964424
0.00970172,0.00727455
0.0106719,0.00538889
0.0117391,0.00424586
0.012913,0.00443838
0.0142043,0.00766909
0.0156247,0.015323
0.0171872,0.0285978
0.0189059,0.045464
0.0207965,0.0626418
0.0228762,0.0750885
0.0251638,0.080539
0.0276801,0.0785137
0.0304482,0.0713139
0.033493,0.0612675
0.0368423,0.0503539
0.0405265,0.0402356
0.0445792,0.0317416
0.0490371,0.0243822
0.0539408,0.0184954
0.0593349,0.0138743
0.0652683,0.0102487
0.0717952,0.00829859
0.0789747,0.00945172
0.0868722,0.0168729
0.0955594,0.0344416
0.105115,0.0626257
0.115627,0.0968533
0.12719,0.12975
0.139908,0.153192
0.153899,0.161219
0.169289,0.154955
0.186218,0.139263
0.20484,0.119438
0.225324,0.0978204
0.247856,0.0779335
0.272642,0.0606457
0.299906,0.0468305
0.329897,0.0351451
0.362887,0.0264576
0.399175,0.019878
0.439093,0.0163974
0.483002,0.0203083
0.531302,0.0384584
0.584432,0.0765103
0.642876,0.134508
0.707163,0.204281
0.77788,0.269548
0.855668,0.311048
0.941234,0.321676
