r,theta,mass
0,0,0.00374796
0,0.01,0.00421295
0,0.02,0.00407437
0,0.03,0.00398761
0,0.04,0.00343923
0,0.05,0.00397365
0,0.06,0.00362853
0,0.07,0.00416928
0,0.08,0.00412915
0,0.09,0.00477878
0,0.1,0.00407816
0,0.11,0.00346664
0,0.12,0.00389949
0,0.13,0.00416588
0,0.14,0.00502697
0,0.15,0.00408261
0,0.16,0.00340084
0,0.17,0.0039503
0,0.18,0.00459275
0,0.19,0.00414672
0,0.2,0.00446855
0,0.21,0.0039793
0,0.22,0.00416928
0,0.23,0.0041508
0,0.24,0.00356472
0,0.25,0.00402962
0,0.26,0.00427044
0,0.27,0.00355469
0,0.28,0.00434611
0,0.29,0.00422203
0,0.3,0.00404489
0,0.31,0.00382289
0,0.32,0.00522423
0,0.33,0.00505405
0,0.34,0.00341076
0,0.35,0.00408264
0,0.36,0.00440066
0,0.37,0.00439518
0,0.38,0.00389074
0,0.39,0.00458615
0,0.4,0.00340595
0,0.41,0.00467726
0,0.42,0.0038298
0,0.43,0.00367934
0,0.44,0.00343713
0,0.45,0.0041565
0,0.46,0.00414232
0,0.47,0.00413018
0,0.48,0.00346543
0,0.49,0.0040986
0,0.5,0.00345446
0,0.51,0.00373325
0,0.52,0.00410894
0,0.53,0.00380969
0,0.54,0.0036446
0,0.55,0.00332804
0,0.56,0.00444339
0,0.57,0.0046085
0,0.58,0.00397394
0,0.59,0.00348184
0,0.6,0.00381107
0,0.61,0.00404986
0,0.62,0.0038903
0,0.63,0.00366541
0,0.64,0.00462509
0,0.65,0.0044587
0,0.66,0.00469669
0,0.67,0.00408439
0,0.68,0.00411989
0,0.69,0.00470466
0,0.7,0.00480647
0,0.71,0.00394939
0,0.72,0.00337422
0,0.73,0.00455616
0,0.74,0.00507963
0,0.75,0.00421257
0,0.76,0.00429924
0,0.77,0.00316494
0,0.78,0.00383192
0,0.79,0.00430192
0,0.8,0.00420786
0,0.81,0.00483185
0,0.82,0.00396103
0,0.83,0.00435463
0,0.84,0.00358996
0,0.85,0.00406266
0,0.86,0.00469758
0,0.87,0.0042086
0,0.88,0.0045263
0,0.89,0.00397804
0,0.9,0.00437402
0,0.91,0.00392264
0,0.92,0.00384844
0,0.93,0.00455665
0,0.94,0.00437638
0,0.95,0.0047917
0,0.96,0.00506005
0,0.97,0.00446253
0,0.98,0.00501906
0,0.99,0.00416751
0,1,0.0049311
0,1.01,0.00371526
0,1.02,0.00434166
0,1.03,0.00395229
0,1.04,0.00489456
0.01,0,0.00460514
0.01,0.01,0.004951
0.01,0.02,0.0043337
0.01,0.03,0.00454809
0.01,0.04,0.00526647
0.01,0.05,0.00559623
0.01,0.06,0.00488941
0.01,0.07,0.00485966
0.01,0.08,0.00522456
0.01,0.09,0.00495262
0.01,0.1,0.00455657
0.01,0.11,0.00504705
0.01,0.12,0.00425336
0.01,0.13,0.00488286
0.01,0.14,0.00433967
0.01,0.15,0.00413634
0.01,0.16,0.00486925
0.01,0.17,0.00457017
0.01,0.18,0.00469357
0.01,0.19,0.00466212
0.01,0.2,0.00496479
0.01,0.21,0.00511769
0.01,0.22,0.00531534
0.01,0.23,0.00462641
0.01,0.24,0.0042419
0.01,0.25,0.00431427
0.01,0.26,0.00439727
0.01,0.27,0.00472741
0.01,0.28,0.00408164
0.01,0.29,0.00455339
0.01,0.3,0.00492879
0.01,0.31,0.00505662
0.01,0.32,0.00576458
0.01,0.33,0.00450477
0.01,0.34,0.00464417
0.01,0.35,0.00553588
0.01,0.36,0.0051169
0.01,0.37,0.00520122
0.01,0.38,0.0053351
0.01,0.39,0.0047515
0.01,0.4,0.00496803
0.01,0.41,0.00436041
0.01,0.42,0.00466371
0.01,0.43,0.00473136
0.01,0.44,0.00519224
0.01,0.45,0.00451073
0.01,0.46,0.00509079
0.01,0.47,0.00512688
0.01,0.48,0.00501741
0.01,0.49,0.0051074
0.01,0.5,0.00485579
0.01,0.51,0.0055806
0.01,0.52,0.00441554
0.01,0.53,0.00526702
0.01,0.54,0.00511925
0.01,0.55,0.00479155
0.01,0.56,0.00500172
0.01,0.57,0.00480293
0.01,0.58,0.00465377
0.01,0.59,0.00471051
0.01,0.6,0.00521456
0.01,0.61,0.00470292
0.01,0.62,0.00495109
0.01,0.63,0.00548016
0.01,0.64,0.00476422
0.01,0.65,0.00525654
0.01,0.66,0.00459252
0.01,0.67,0.00583855
0.01,0.68,0.00518434
0.01,0.69,0.00572556
0.01,0.7,0.00541684
0.01,0.71,0.0052002
0.01,0.72,0.00436879
0.01,0.73,0.00384441
0.01,0.74,0.0050351
0.01,0.75,0.00515062
0.01,0.76,0.00465618
0.01,0.77,0.00467291
0.01,0.78,0.00457883
0.01,0.79,0.00504682
0.01,0.8,0.00588011
0.01,0.81,0.00503064
0.01,0.82,0.00466614
0.01,0.83,0.00510719
0.01,0.84,0.00436473
0.01,0.85,0.00522011
0.01,0.86,0.00481413
0.01,0.87,0.00363067
0.01,0.88,0.00403177
0.01,0.89,0.00436243
0.01,0.9,0.00466184
0.01,0.91,0.0047093
0.01,0.92,0.00539175
0.01,0.93,0.00480954
0.01,0.94,0.00494534
0.01,0.95,0.00431407
0.01,0.96,0.00486664
0.01,0.97,0.0051311
0.01,0.98,0.00410715
0.01,0.99,0.00482027
0.01,1,0.00520299
0.01,1.01,0.00515251
0.01,1.02,0.00431788
0.01,1.03,0.00498016
0.01,1.04,0.00500738
0.02,0,0.00546908
0.02,0.01,0.00652996
0.02,0.02,0.00525174
0.02,0.03,0.00540381
0.02,0.04,0.0040588
0.02,0.05,0.0053747
0.02,0.06,0.00540643
0.02,0.07,0.00503311
0.02,0.08,0.00614565
0.02,0.09,0.00537583
0.02,0.1,0.00522948
0.02,0.11,0.00567274
0.02,0.12,0.00509369
0.02,0.13,0.00597718
0.02,0.14,0.00644099
0.02,0.15,0.00481286
0.02,0.16,0.00556166
0.02,0.17,0.0055191
0.02,0.18,0.00610412
0.02,0.19,0.00601848
0.02,0.2,0.0049112
0.02,0.21,0.00615141
0.02,0.22,0.00530368
0.02,0.23,0.00609253
0.02,0.24,0.00502324
0.02,0.25,0.00531723
0.02,0.26,0.00592224
0.02,0.27,0.00525468
0.02,0.28,0.00551034
0.02,0.29,0.0069888
0.02,0.3,0.00546336
0.02,0.31,0.00572293
0.02,0.32,0.00500099
0.02,0.33,0.00604083
0.02,0.34,0.00549154
0.02,0.35,0.00548187
0.02,0.36,0.00680257
0.02,0.37,0.00546484
0.02,0.38,0.00498188
0.02,0.39,0.00616663
0.02,0.4,0.00529462
0.02,0.41,0.00562636
0.02,0.42,0.00581111
0.02,0.43,0.00557269
0.02,0.44,0.00614753
0.02,0.45,0.00586126
0.02,0.46,0.00550453
0.02,0.47,0.00465274
0.02,0.48,0.00495084
0.02,0.49,0.00479958
0.02,0.5,0.00580936
0.02,0.51,0.00542348
0.02,0.52,0.00546693
0.02,0.53,0.00475703
0.02,0.54,0.00604851
0.02,0.55,0.0052805
0.02,0.56,0.00571869
0.02,0.57,0.00488048
0.02,0.58,0.00554421
0.02,0.59,0.00642391
0.02,0.6,0.00684059
0.02,0.61,0.00528952
0.02,0.62,0.00547955
0.02,0.63,0.00595128
0.02,0.64,0.00615468
0.02,0.65,0.00555356
0.02,0.66,0.00683883
0.02,0.67,0.00497858
0.02,0.68,0.00495487
0.02,0.69,0.00536636
0.02,0.7,0.00622381
0.02,0.71,0.00546782
0.02,0.72,0.00634801
0.02,0.73,0.00621005
0.02,0.74,0.00568148
0.02,0.75,0.00579722
0.02,0.76,0.00621589
0.02,0.77,0.00553756
0.02,0.78,0.00530905
0.02,0.79,0.0057101
0.02,0.8,0.00504301
0.02,0.81,0.00589795
0.02,0.82,0.00503198
0.02,0.83,0.00498259
0.02,0.84,0.00607337
0.02,0.85,0.00579157
0.02,0.86,0.00538355
0.02,0.87,0.00650925
0.02,0.88,0.0050885
0.02,0.89,0.00614569
0.02,0.9,0.00645118
0.02,0.91,0.00589106
0.02,0.92,0.00593334
0.02,0.93,0.00567571
0.02,0.94,0.00542112
0.02,0.95,0.00607163
0.02,0.96,0.00543021
0.02,0.97,0.00562796
0.02,0.98,0.00524874
0.02,0.99,0.00604935
0.02,1,0.00581555
0.02,1.01,0.00625508
0.02,1.02,0.00511179
0.02,1.03,0.00547506
0.02,1.04,0.00516909
0.03,0,0.00573887
0.03,0.01,0.00622483
0.03,0.02,0.00592896
0.03,0.03,0.00687063
0.03,0.04,0.00534955
