r0,entropy
0.001,0.013151
0.00101,0.0128832
0.0010201,0.0125795
0.0010303,0.0123075
0.0010406,0.0120453
0.00105101,0.0117697
0.00106152,0.0115038
0.00107214,0.0112573
0.00108286,0.0109805
0.00109369,0.0107287
0.00110462,0.0104778
0.00111567,0.0101998
0.00112683,0.00996188
0.00113809,0.00972373
0.00114947,0.00948481
0.00116097,0.0092327
0.00117258,0.00899593
0.0011843,0.00877621
0.00119615,0.00854037
0.00120811,0.00831481
0.00122019,0.0081298
0.00123239,0.00790402
0.00124472,0.00770251
0.00125716,0.00748939
0.00126973,0.00730055
0.00128243,0.00707303
0.00129526,0.00690893
0.00130821,0.006712
0.00132129,0.00652992
0.0013345,0.00634764
0.00134785,0.00617515
0.00136133,0.00599739
0.00137494,0.00582296
0.00138869,0.00566292
0.00140258,0.00549804
0.0014166,0.0053579
0.00143077,0.00520042
0.00144508,0.00504343
0.00145953,0.00489085
0.00147412,0.0047533
0.00148886,0.00462502
0.00150375,0.00447737
0.00151879,0.00435782
0.00153398,0.00422843
0.00154932,0.00410044
0.00156481,0.00397426
0.00158046,0.00385947
0.00159626,0.00374143
0.00161223,0.00363501
0.00162835,0.00351566
0.00164463,0.00341671
0.00166108,0.00331441
0.00167769,0.00321005
0.00169447,0.00311994
0.00171141,0.00302656
0.00172852,0.00293156
0.00174581,0.00283975
0.00176327,0.00274608
0.0017809,0.00267117
0.00179871,0.0025916
0.0018167,0.00252196
0.00183486,0.0024499
0.00185321,0.00238367
0.00187174,0.00231598
0.00189046,0.00225481
0.00190937,0.0022048
0.00192846,0.00216113
0.00194774,0.00211719
0.00196722,0.00209459
0.00198689,0.0020598
0.00200676,0.00204212
0.00202683,0.00203453
0.0020471,0.00204569
0.00206757,0.00206173
0.00208825,0.00209121
0.00210913,0.00212782
0.00213022,0.00218059
0.00215152,0.00225109
0.00217304,0.00233546
0.00219477,0.00244717
0.00221672,0.00257212
0.00223888,0.00271799
0.00226127,0.00286513
0.00228388,0.0030424
0.00230672,0.0032616
0.00232979,0.00349535
0.00235309,0.00371902
0.00237662,0.00400847
0.00240038,0.00430097
0.00242439,0.00465483
0.00244863,0.00500315
0.00247312,0.00538862
0.00249785,0.00579462
0.00252283,0.00627541
0.00254806,0.00673324
0.00257354,0.00723792
0.00259927,0.00775287
0.00262527,0.00833638
0.00265152,0.00893407
0.00267803,0.00954667
0.00270481,0.0102093
0.00273186,0.010925
0.00275918,0.0115805
0.00278677,0.0123228
0.00281464,0.0131203
0.00284279,0.0139001
0.00287121,0.014707
0.00289993,0.0155775
0.00292893,0.0164749
0.00295822,0.0172899
0.0029878,0.0181748
0.00301768,0.0191039
0.00304785,0.0199966
0.00307833,0.0208983
0.00310911,0.0218709
0.0031402,0.022774
0.00317161,0.0237922
0.00320332,0.0246506
0.00323536,0.0255941
0.00326771,0.026486
0.00330039,0.0273586
0.00333339,0.0282955
0.00336672,0.0291205
0.00340039,0.0300497
0.0034344,0.030886
0.00346874,0.0316365
0.00350343,0.0324676
0.00353846,0.0332581
0.00357385,0.033976
0.00360958,0.0346346
0.00364568,0.035339
0.00368214,0.0359064
0.00371896,0.0365213
0.00375615,0.0370493
0.00379371,0.0375379
0.00383165,0.0379942
0.00386996,0.0384093
0.00390866,0.0388228
0.00394775,0.0391724
0.00398723,0.0394564
0.0040271,0.0397517
0.00406737,0.0399225
0.00410804,0.040124
0.00414912,0.0402414
0.00419062,0.0403226
0.00423252,0.0404109
0.00427485,0.040378
0.0043176,0.0403345
0.00436077,0.0402839
0.00440438,0.0401571
0.00444842,0.040027
0.00449291,0.0398472
0.00453784,0.0396949
0.00458321,0.0394721
0.00462905,0.0391503
0.00467534,0.0388826
0.00472209,0.0385501
0.00476931,0.0382294
0.004817,0.0378506
0.00486517,0.0374744
0.00491383,0.0370716
0.00496296,0.036657
0.00501259,0.036152
0.00506272,0.035728
0.00511335,0.0352453
0.00516448,0.0347563
0.00521613,0.03425
0.00526829,0.0337509
0.00532097,0.0332168
0.00537418,0.0326612
0.00542792,0.032212
0.0054822,0.0316078
0.00553702,0.0310501
0.00559239,0.0305134
0.00564832,0.0299224
0.0057048,0.0293962
0.00576185,0.0288396
0.00581947,0.0282428
0.00587766,0.0276943
0.00593644,0.0271346
0.0059958,0.0265739
0.00605576,0.0260488
0.00611632,0.02541
0.00617748,0.0249321
0.00623926,0.0244071
0.00630165,0.023851
0.00636466,0.0232852
0.00642831,0.022785
0.00649259,0.0222452
0.00655752,0.0217245
0.0066231,0.0211878
0.00668933,0.0206792
0.00675622,0.0201891
0.00682378,0.0197243
0.00689202,0.0192345
0.00696094,0.0187646
0.00703055,0.018275
0.00710085,0.0178054
0.00717186,0.0173486
0.00724358,0.0169149
0.00731602,0.0164988
0.00738918,0.0160584
0.00746307,0.0155835
0.0075377,0.0152081
0.00761308,0.0148138
0.00768921,0.0143966
0.0077661,0.0139731
0.00784376,0.01365
0.0079222,0.0132589
0.00800142,0.0128946
0.00808144,0.0125436
0.00816225,0.0121961
0.00824387,0.0118395
0.00832631,0.0115387
0.00840957,0.011182
0.00849367,0.0108665
0.00857861,0.0105493
0.00866439,0.0102404
0.00875104,0.00996007
0.00883855,0.00968616
0.00892693,0.00939283
0.0090162,0.00911933
0.00910636,0.00885017
0.00919743,0.00858379
0.0092894,0.00833194
0.0093823,0.00808685
0.00947612,0.00784616
0.00957088,0.00761281
0.00966659,0.00737627
0.00976325,0.00716147
0.00986089,0.00695084
0.0099595,0.00673074
0.0100591,0.00653423
0.0101597,0.00633477
0.0102613,0.00615443
0.0103639,0.00596626
0.0104675,0.00578623
0.0105722,0.00561717
0.0106779,0.00544839
0.0107847,0.0052682
