r0,entropy
0.0001,0.0208935
0.00011,0.0200459
0.000121,0.017836
0.0001331,0.0149982
0.00014641,0.0123079
0.000161051,0.00972141
0.000177156,0.00745879
0.000194872,0.00572626
0.000214359,0.00429374
0.000235795,0.00327152
0.000259374,0.00238101
0.000285312,0.00175313
0.000313843,0.00128606
0.000345227,0.000946263
0.00037975,0.000667879
0.000417725,0.000497172
0.000459497,0.000349293
0.000505447,0.000425859
0.000555992,0.00140162
0.000611591,0.00484061
0.00067275,0.0118982
0.000740025,0.0222507
0.000814027,0.0324263
0.00089543,0.0397119
0.000984973,0.0421796
0.00108347,0.0405248
0.00119182,0.0365105
0.001311,0.031016
0.0014421,0.0253
0.00158631,0.020063
0.00174494,0.0156485
0.00191943,0.0120046
0.00211138,0.00912162
0.00232252,0.00677616
0.00255477,0.00504141
0.00281024,0.00364444
0.00309127,0.00266848
0.00340039,0.00201515
0.00374043,0.00141859
0.00411448,0.00101717
0.00452593,0.000751111
0.00497852,0.000775758
0.00547637,0.00222626
0.00602401,0.0079897
0.00662641,0.0211899
0.00728905,0.0411083
0.00801795,0.0619737
0.00881975,0.0774549
0.00970172,0.0839582
0.0106719,0.0818762
0.0117391,0.074484
0.012913,0.0637036
0.0142043,0.0525519
0.0156247,0.0418758
0.0171872,0.0323707
0.0189059,0.025083
0.0207965,0.0190513
0.0228762,0.0142523
0.0251638,0.0105343
0.0276801,0.00785354
0.0304482,0.00568707
0.033493,0.00410566
0.0368423,0.00300667
0.0405265,0.00217576
0.0445792,0.00155515
0.0490371,0.00145192
0.0539408,0.00369576
0.0593349,0.0133129
0.0652683,0.0371703
0.0717952,0.0750699
0.0789747,0.117618
0.0868722,0.151173
0.0955594,0.166631
0.105115,0.165512
0.115627,0.151829
0.12719,0.130787
0.139908,0.108407
0.153899,0.0867822
0.169289,0.0677802
0.186218,0.0522853
0.20484,0.0395139
0.225324,0.0297347
0.247856,0.0220455
0.272642,0.0163285
0.299906,0.0118469
0.329897,0.00878222
0.362887,0.00628303
0.399175,0.00460869
0.439093,0.00334343
0.483002,0.00279212
0.531302,0.00589859
0.584432,0.0221481
0.642876,0.0646465
0.707163,0.136996
0.77788,0.221754
0.855668,0.29349
0.941234,0.331349
