r0,entropy
0,0
0.01,0.000649818
0.02,0.00254085
0.03,0.00560739
0.04,0.00978517
0.05,0.0150134
0.06,0.0212316
0.07,0.0283606
0.08,0.0362904
0.09,0.0450558
0.1,0.0545334
0.11,0.0646244
0.12,0.0754946
0.13,0.0867336
0.14,0.0984244
0.15,0.110622
0.16,0.123148
0.17,0.136015
0.18,0.149274
0.19,0.162777
0.2,0.176518
0.21,0.190126
0.22,0.203648
0.23,0.217335
0.24,0.231201
0.25,0.245017
0.26,0.258722
0.27,0.272007
0.28,0.285243
0.29,0.298702
0.3,0.311291
0.31,0.324119
0.32,0.336518
0.33,0.348232
0.34,0.359852
0.35,0.37106
0.36,0.382101
0.37,0.393367
0.38,0.402998
0.39,0.412507
0.4,0.421603
0.41,0.430792
0.42,0.438765
0.43,0.446955
0.44,0.454171
0.45,0.461334
0.46,0.468031
0.47,0.47426
0.48,0.479779
0.49,0.484885
0.5,0.49006
0.51,0.493906
0.52,0.498487
0.53,0.501726
0.54,0.50507
0.55,0.50816
0.56,0.510793
0.57,0.513101
0.58,0.515414
0.59,0.516839
0.6,0.518137
0.61,0.5195
0.62,0.519757
0.63,0.520565
0.64,0.520945
0.65,0.520959
0.66,0.5207
0.67,0.520056
0.68,0.519746
0.69,0.518832
0.7,0.5179
0.71,0.516859
0.72,0.515533
0.73,0.5143
0.74,0.512985
0.75,0.511146
0.76,0.509269
0.77,0.507301
0.78,0.505011
0.79,0.503071
0.8,0.501183
0.81,0.498834
0.82,0.496232
0.83,0.493747
0.84,0.491203
0.85,0.488548
0.86,0.485972
0.87,0.483193
0.88,0.480661
0.89,0.477843
0.9,0.474746
0.91,0.471843
0.92,0.469095
0.93,0.466158
0.94,0.463137
0.95,0.459989
0.96,0.457314
0.97,0.454133
0.98,0.45133
0.99,0.44801
