r0,entropy
0.0001,0
0.00011,0
0.000121,0
0.0001331,0
0.00014641,0
0.000161051,0
0.000177156,0
0.000194872,0
0.000214359,0
0.000235795,0
0.000259374,0
0.000285312,0
0.000313843,0
0.000345227,0
0.00037975,0
0.000417725,0
0.000459497,2.0202e-07
0.000505447,2.0202e-06
0.000555992,4.66667e-05
0.000611591,0.000355354
0.00067275,0.00122707
0.000740025,0.00252949
0.000814027,0.00400727
0.00089543,0.00507939
0.000984973,0.00538343
0.00108347,0.00515394
0.00119182,0.00481293
0.001311,0.00437939
0.0014421,0.00438586
0.00158631,0.00443616
0.00174494,0.00451414
0.00191943,0.00490465
0.00211138,0.00561354
0.00232252,0.00664828
0.00255477,0.0076099
0.00281024,0.00825737
0.00309127,0.0088103
0.00340039,0.00899273
0.00374043,0.00888545
0.00411448,0.00889576
0.00452593,0.00889758
0.00497852,0.00910545
0.00547637,0.00955919
0.00602401,0.010756
0.00662641,0.0124083
0.00728905,0.014221
0.00801795,0.0157917
0.00881975,0.017019
0.00970172,0.0176335
0.0106719,0.017857
0.0117391,0.0176295
0.012913,0.0176707
0.0142043,0.0178766
0.0156247,0.0185012
0.0171872,0.0204121
0.0189059,0.0227002
0.0207965,0.0265875
0.0228762,0.0302396
0.0251638,0.0329754
0.0276801,0.0347891
0.0304482,0.0355172
0.033493,0.0355356
0.0368423,0.0354319
0.0405265,0.0355939
0.0445792,0.0361531
0.0490371,0.0385087
0.0539408,0.042816
0.0593349,0.0489184
0.0652683,0.0564248
0.0717952,0.0631459
0.0789747,0.0678119
0.0868722,0.0706455
0.0955594,0.0715877
0.105115,0.0710002
0.115627,0.0709261
0.12719,0.0715212
0.139908,0.0740931
0.153899,0.0807828
0.169289,0.0911632
0.186218,0.105248
0.20484,0.120037
0.225324,0.132113
0.247856,0.139083
0.272642,0.142077
0.299906,0.141992
0.329897,0.141548
0.362887,0.14225
0.399175,0.145241
0.439093,0.153783
0.483002,0.171413
0.531302,0.192956
0.584432,0.223075
0.642876,0.250936
0.707163,0.270004
0.77788,0.275872
0.855668,0.267672
0.941234,0.245223
