r0,entropy
0,0
0.01,0.000625657
0.02,0.00230364
0.03,0.0048596
0.04,0.00807374
0.05,0.0117828
0.06,0.0155087
0.07,0.0192745
0.08,0.0228881
0.09,0.0263657
0.1,0.0297752
0.11,0.0330414
0.12,0.0363855
0.13,0.0394885
0.14,0.0426434
0.15,0.0455261
0.16,0.0485766
0.17,0.0514624
0.18,0.0543269
0.19,0.0572822
0.2,0.0600804
0.21,0.0629362
0.22,0.0658875
0.23,0.0685921
0.24,0.0714517
0.25,0.0744778
0.26,0.0772287
0.27,0.0801705
0.28,0.0828537
0.29,0.0855943
0.3,0.088401
0.31,0.0916024
0.32,0.0943604
0.33,0.0975485
0.34,0.100584
0.35,0.10333
0.36,0.106058
0.37,0.109225
0.38,0.112058
0.39,0.114944
0.4,0.117964
0.41,0.121596
0.42,0.124366
0.43,0.127523
0.44,0.130532
0.45,0.133967
0.46,0.136783
0.47,0.140341
0.48,0.14333
0.49,0.146568
0.5,0.149596
0.51,0.152864
0.52,0.156391
0.53,0.159275
0.54,0.162757
0.55,0.166329
0.56,0.170122
0.57,0.17323
0.58,0.176764
0.59,0.180256
0.6,0.183817
0.61,0.187123
0.62,0.191332
0.63,0.19481
0.64,0.198596
0.65,0.202264
0.66,0.206363
0.67,0.210116
0.68,0.214248
0.69,0.217926
0.7,0.222536
0.71,0.226955
0.72,0.230833
0.73,0.23546
0.74,0.239264
0.75,0.243382
0.76,0.248461
0.77,0.252992
0.78,0.256475
0.79,0.2612
0.8,0.266033
0.81,0.270966
0.82,0.27566
0.83,0.280754
0.84,0.28444
0.85,0.289733
0.86,0.295501
0.87,0.299562
0.88,0.303909
0.89,0.30908
0.9,0.314508
0.91,0.318342
0.92,0.323961
0.93,0.328271
0.94,0.333383
0.95,0.337498
0.96,0.342689
0.97,0.347291
0.98,0.351397
0.99,0.356668
