r0,entropy
0.001,0.0420398
0.0011,0.0399901
0.00121,0.0355083
0.001331,0.0299931
0.0014641,0.0245317
0.00161051,0.0192958
0.00177156,0.0149653
0.00194872,0.0113816
0.00214359,0.00860626
0.00235795,0.00640788
0.00259374,0.00482949
0.00285312,0.00352182
0.00313843,0.00256707
0.00345227,0.00184424
0.0037975,0.0013396
0.00417725,0.000988889
0.00459497,0.000755152
0.00505447,0.000872323
0.00555992,0.0028198
0.00611591,0.00970081
0.0067275,0.0240762
0.00740025,0.04456
0.00814027,0.0646259
0.0089543,0.0791002
0.00984973,0.0841061
0.0108347,0.0810782
0.0119182,0.0727143
0.01311,0.0619424
0.014421,0.0506974
0.0158631,0.0402202
0.0174494,0.0313275
0.0191943,0.0239651
0.0211138,0.0180677
0.0232252,0.013557
0.0255477,0.0099903
0.0281024,0.00737798
0.0309127,0.00541394
0.0340039,0.00387293
0.0374043,0.00284343
0.0411448,0.00207838
0.0452593,0.0015103
0.0497852,0.00160222
0.0547637,0.00454788
0.0602401,0.0160962
0.0662641,0.0425299
0.0728905,0.082481
0.0801795,0.124272
0.0881975,0.155248
0.0970172,0.1676
0.106719,0.163771
0.117391,0.148637
0.12913,0.12709
0.142043,0.10442
0.156247,0.0836002
0.171872,0.065263
0.189059,0.0498743
0.207965,0.0378568
0.228762,0.0282248
0.251638,0.0208851
0.276801,0.0153691
0.304482,0.0112996
0.33493,0.00835616
0.368423,0.00601778
0.405265,0.00438121
0.445792,0.00316586
0.490371,0.00297152
0.539408,0.0074099
0.593349,0.0268927
0.652683,0.0741374
0.717952,0.15087
0.789747,0.235605
0.868722,0.301253
0.955594,0.333676
