x,y,mass
0.02,0.3,0.530464
0.02,0.31,0.529583
0.02,0.32,0.527619
0.02,0.33,0.526816
0.02,0.34,0.525817
0.02,0.35,0.524688
0.02,0.36,0.522694
0.02,0.37,0.523514
0.02,0.38,0.521582
0.02,0.39,0.520549
0.02,0.4,0.520169
0.02,0.41,0.520689
0.02,0.42,0.519816
0.02,0.43,0.519632
0.02,0.44,0.517536
0.02,0.45,0.518529
0.02,0.46,0.518686
0.02,0.47,0.517558
0.02,0.48,0.516065
0.02,0.49,0.517055
0.02,0.5,0.516892
0.02,0.51,0.517184
0.02,0.52,0.516363
0.02,0.53,0.517657
0.02,0.54,0.517433
0.02,0.55,0.518503
0.02,0.56,0.519049
0.02,0.57,0.519931
0.02,0.58,0.519849
0.02,0.59,0.520161
0.02,0.6,0.520204
0.02,0.61,0.521682
0.02,0.62,0.52295
0.02,0.63,0.522618
0.02,0.64,0.523184
0.02,0.65,0.525277
0.02,0.66,0.525218
0.02,0.67,0.527425
0.02,0.68,0.526849
0.02,0.69,0.527806
0.02,0.7,0.530402
0.02,0.71,0.53126
0.02,0.72,0.532599
0.02,0.73,0.533129
0.02,0.74,0.53542
0.02,0.75,0.536703
0.02,0.76,0.537976
0.02,0.77,0.539748
0.02,0.78,0.541957
0.02,0.79,0.542949
0.02,0.8,0.544619
0.02,0.81,0.546503
0.02,0.82,0.549142
0.02,0.83,0.549084
0.02,0.84,0.550803
0.02,0.85,0.552909
0.02,0.86,0.554813
0.02,0.87,0.555984
0.02,0.88,0.557959
0.02,0.89,0.559971
0.02,0.9,0.562083
0.02,0.91,0.563817
0.02,0.92,0.564493
0.02,0.93,0.566581
0.02,0.94,0.567906
0.02,0.95,0.570966
0.02,0.96,0.57169
0.02,0.97,0.572901
0.02,0.98,0.574799
0.02,0.99,0.576735
0.03,0,0.576225
0.03,0.01,0.575363
0.03,0.02,0.573718
0.03,0.03,0.572209
0.03,0.04,0.570342
0.03,0.05,0.56887
0.03,0.06,0.566521
0.03,0.07,0.564997
0.03,0.08,0.562057
0.03,0.09,0.561847
0.03,0.1,0.559687
0.03,0.11,0.556957
0.03,0.12,0.556183
0.03,0.13,0.555037
0.03,0.14,0.552062
0.03,0.15,0.549836
0.03,0.16,0.548703
0.03,0.17,0.54749
0.03,0.18,0.544375
0.03,0.19,0.544443
0.03,0.2,0.540396
0.03,0.21,0.539692
0.03,0.22,0.537941
0.03,0.23,0.536416
0.03,0.24,0.535017
0.03,0.25,0.534077
0.03,0.26,0.53315
0.03,0.27,0.530579
0.03,0.28,0.529122
0.03,0.29,0.527662
0.03,0.3,0.526628
0.03,0.31,0.524515
0.03,0.32,0.524175
0.03,0.33,0.521604
0.03,0.34,0.521164
0.03,0.35,0.520331
0.03,0.36,0.520839
0.03,0.37,0.519827
0.03,0.38,0.519427
0.03,0.39,0.51735
0.03,0.4,0.516873
0.03,0.41,0.516049
0.03,0.42,0.514274
0.03,0.43,0.514186
0.03,0.44,0.514403
0.03,0.45,0.514266
0.03,0.46,0.513363
0.03,0.47,0.512424
0.03,0.48,0.512861
0.03,0.49,0.512894
0.03,0.5,0.513403
0.03,0.51,0.513538
0.03,0.52,0.513967
0.03,0.53,0.513004
0.03,0.54,0.513593
0.03,0.55,0.514139
0.03,0.56,0.514307
0.03,0.57,0.513748
0.03,0.58,0.515274
0.03,0.59,0.516229
0.03,0.6,0.517065
0.03,0.61,0.517173
0.03,0.62,0.518267
0.03,0.63,0.518102
0.03,0.64,0.51937
0.03,0.65,0.520746
0.03,0.66,0.521646
0.03,0.67,0.521881
0.03,0.68,0.524599
0.03,0.69,0.525306
0.03,0.7,0.525659
0.03,0.71,0.528056
0.03,0.72,0.530274
0.03,0.73,0.531013
0.03,0.74,0.531753
0.03,0.75,0.533454
0.03,0.76,0.533824
0.03,0.77,0.536903
0.03,0.78,0.53733
0.03,0.79,0.540313
0.03,0.8,0.541599
0.03,0.81,0.5429
0.03,0.82,0.545814
0.03,0.83,0.546641
0.03,0.84,0.548107
0.03,0.85,0.550474
0.03,0.86,0.552302
0.03,0.87,0.55475
0.03,0.88,0.556308
0.03,0.89,0.558301
0.03,0.9,0.558067
0.03,0.91,0.561143
0.03,0.92,0.563092
0.03,0.93,0.565272
0.03,0.94,0.567332
0.03,0.95,0.568445
0.03,0.96,0.570461
0.03,0.97,0.572378
0.03,0.98,0.573288
0.03,0.99,0.574345
0.04,0,0.575203
0.04,0.01,0.574471
0.04,0.02,0.571549
0.04,0.03,0.569487
0.04,0.04,0.569037
0.04,0.05,0.566444
0.04,0.06,0.564607
0.04,0.07,0.562632
0.04,0.08,0.560012
0.04,0.09,0.559865
0.04,0.1,0.556678
0.04,0.11,0.554868
0.04,0.12,0.553181
0.04,0.13,0.55214
0.04,0.14,0.549304
0.04,0.15,0.548908
0.04,0.16,0.545227
0.04,0.17,0.54455
0.04,0.18,0.542209
0.04,0.19,0.538275
0.04,0.2,0.537774
0.04,0.21,0.535564
0.04,0.22,0.534927
0.04,0.23,0.53332
0.04,0.24,0.532721
0.04,0.25,0.530043
0.04,0.26,0.529963
0.04,0.27,0.526452
0.04,0.28,0.525774
0.04,0.29,0.524072
0.04,0.3,0.522842
0.04,0.31,0.521785
0.04,0.32,0.521585
0.04,0.33,0.518725
0.04,0.34,0.518652
0.04,0.35,0.516617
0.04,0.36,0.516212
0.04,0.37,0.516011
0.04,0.38,0.514971
0.04,0.39,0.512836
0.04,0.4,0.513481
0.04,0.41,0.511913
0.04,0.42,0.51167
0.04,0.43,0.510771
0.04,0.44,0.510408
0.04,0.45,0.510189
0.04,0.46,0.509088
0.04,0.47,0.509862
0.04,0.48,0.509567
0.04,0.49,0.50869
0.04,0.5,0.508416
0.04,0.51,0.508017
0.04,0.52,0.50974
0.04,0.53,0.508728
0.04,0.54,0.510036
0.04,0.55,0.50988
0.04,0.56,0.510224
0.04,0.57,0.510151
0.04,0.58,0.511373
0.04,0.59,0.512335
0.04,0.6,0.512648
0.04,0.61,0.513903
0.04,0.62,0.514178
0.04,0.63,0.515727
0.04,0.64,0.514947
0.04,0.65,0.517554
0.04,0.66,0.518153
0.04,0.67,0.519663
0.04,0.68,0.520935
0.04,0.69,0.520593
