x,y,mass
0,0,0.0129357
0,0.01,0.0137662
0,0.02,0.0144126
0,0.03,0.0155757
0,0.04,0.0164329
0,0.05,0.0172412
0,0.06,0.0180651
0,0.07,0.0195757
0,0.08,0.0201933
0,0.09,0.0211347
0,0.1,0.0218973
0,0.11,0.0225243
0,0.12,0.0232896
0,0.13,0.0234375
0,0.14,0.0240113
0,0.15,0.0245753
0,0.16,0.025064
0,0.17,0.024914
0,0.18,0.025355
0,0.19,0.0255514
0,0.2,0.0257937
0,0.21,0.0257681
0,0.22,0.0259373
0,0.23,0.0256063
0,0.24,0.0256728
0,0.25,0.0258201
0,0.26,0.0254102
0,0.27,0.0257642
0,0.28,0.0257282
0,0.29,0.0257584
0,0.3,0.0259884
0,0.31,0.0257501
0,0.32,0.0259106
0,0.33,0.0258215
0,0.34,0.0257748
0,0.35,0.02602
0,0.36,0.0256356
0,0.37,0.0258583
0,0.38,0.0259939
0,0.39,0.0258123
0,0.4,0.0257894
0,0.41,0.0257668
0,0.42,0.0260231
0,0.43,0.0261167
0,0.44,0.0260378
0,0.45,0.0257093
0,0.46,0.0260943
0,0.47,0.0258866
0,0.48,0.025919
0,0.49,0.025806
0,0.5,0.0258733
0,0.51,0.0257773
0,0.52,0.0257657
0,0.53,0.0259768
0,0.54,0.0260196
0,0.55,0.0257652
0,0.56,0.0260253
0,0.57,0.0259823
0,0.58,0.0258291
0,0.59,0.0259408
0,0.6,0.0256557
0,0.61,0.0257575
0,0.62,0.0256704
0,0.63,0.0259374
0,0.64,0.0259143
0,0.65,0.0257032
0,0.66,0.0256499
0,0.67,0.0260672
0,0.68,0.0257507
0,0.69,0.0259243
0,0.7,0.0260834
0,0.71,0.0257939
0,0.72,0.0257082
0,0.73,0.0261058
0,0.74,0.0259526
0,0.75,0.0260245
0,0.76,0.0259379
0,0.77,0.0255972
0,0.78,0.0257479
0,0.79,0.025596
0,0.8,0.0257707
0,0.81,0.0253287
0,0.82,0.0254215
0,0.83,0.0253602
0,0.84,0.0247603
0,0.85,0.024598
0,0.86,0.0243245
0,0.87,0.0236518
0,0.88,0.0232422
0,0.89,0.0224289
0,0.9,0.0217849
0,0.91,0.0210539
