r,theta,mass
0,0,0.383888
0,0.01,0.38548
0,0.02,0.387638
0,0.03,0.386273
0,0.04,0.38221
0,0.05,0.386132
0,0.06,0.38203
0,0.07,0.382076
0,0.08,0.382659
0,0.09,0.384839
0,0.1,0.379966
0,0.11,0.386422
0,0.12,0.381678
0,0.13,0.380601
0,0.14,0.385338
0,0.15,0.386144
0,0.16,0.384228
0,0.17,0.381779
0,0.18,0.381813
0,0.19,0.381883
0,0.2,0.383686
0,0.21,0.382433
0,0.22,0.38387
0,0.23,0.383519
0,0.24,0.383536
0,0.25,0.384046
0,0.26,0.384934
0,0.27,0.384052
0,0.28,0.384607
0,0.29,0.387436
0,0.3,0.382341
0,0.31,0.380322
0,0.32,0.386903
0,0.33,0.384775
0,0.34,0.384595
0,0.35,0.38399
0,0.36,0.384487
0,0.37,0.383916
0,0.38,0.38376
0,0.39,0.380788
0,0.4,0.380393
0,0.41,0.382122
0,0.42,0.381457
0,0.43,0.387068
0,0.44,0.382921
0,0.45,0.383405
0,0.46,0.382821
0,0.47,0.385198
0,0.48,0.386999
0,0.49,0.382578
0,0.5,0.384907
0,0.51,0.386416
0,0.52,0.381928
0,0.53,0.385454
0,0.54,0.385234
0,0.55,0.38316
0,0.56,0.382479
0,0.57,0.384955
0,0.58,0.384289
0,0.59,0.385487
0,0.6,0.383911
0,0.61,0.380405
0,0.62,0.384125
0,0.63,0.383452
0,0.64,0.381731
0,0.65,0.383912
0,0.66,0.38185
0,0.67,0.383098
0,0.68,0.385861
0,0.69,0.386002
0,0.7,0.385077
0,0.71,0.386625
0,0.72,0.38365
0,0.73,0.386452
0,0.74,0.383087
0,0.75,0.385663
0,0.76,0.383751
0,0.77,0.38279
0,0.78,0.383698
0.01,0,0.388736
0.01,0.01,0.391158
0.01,0.02,0.388496
0.01,0.03,0.390683
0.01,0.04,0.390536
0.01,0.05,0.388151
0.01,0.06,0.393098
0.01,0.07,0.387094
0.01,0.08,0.392366
0.01,0.09,0.38832
0.01,0.1,0.389354
0.01,0.11,0.388717
0.01,0.12,0.391233
0.01,0.13,0.386718
0.01,0.14,0.393045
0.01,0.15,0.390385
0.01,0.16,0.390975
0.01,0.17,0.38763
0.01,0.18,0.389525
0.01,0.19,0.390564
0.01,0.2,0.390145
0.01,0.21,0.388165
0.01,0.22,0.387925
0.01,0.23,0.387649
0.01,0.24,0.387745
0.01,0.25,0.390124
0.01,0.26,0.385132
0.01,0.27,0.388646
0.01,0.28,0.38866
0.01,0.29,0.391503
0.01,0.3,0.38767
0.01,0.31,0.392364
0.01,0.32,0.392241
0.01,0.33,0.390934
0.01,0.34,0.392307
0.01,0.35,0.386342
0.01,0.36,0.38943
0.01,0.37,0.391689
0.01,0.38,0.393527
0.01,0.39,0.390144
0.01,0.4,0.3873
0.01,0.41,0.387062
0.01,0.42,0.390409
0.01,0.43,0.38948
0.01,0.44,0.38685
0.01,0.45,0.388857
0.01,0.46,0.389965
0.01,0.47,0.392328
0.01,0.48,0.390765
0.01,0.49,0.389055
0.01,0.5,0.388861
0.01,0.51,0.388288
0.01,0.52,0.389445
0.01,0.53,0.390118
0.01,0.54,0.392353
0.01,0.55,0.390902
0.01,0.56,0.391465
0.01,0.57,0.38783
0.01,0.58,0.386675
0.01,0.59,0.39104
0.01,0.6,0.38892
0.01,0.61,0.392263
0.01,0.62,0.391957
0.01,0.63,0.389751
0.01,0.64,0.38945
0.01,0.65,0.390693
0.01,0.66,0.388122
0.01,0.67,0.389293
0.01,0.68,0.3915
0.01,0.69,0.388501
0.01,0.7,0.388093
0.01,0.71,0.393167
0.01,0.72,0.389298
0.01,0.73,0.39066
0.01,0.74,0.392079
0.01,0.75,0.387704
0.01,0.76,0.388811
0.01,0.77,0.38943
0.01,0.78,0.388428
