r0,entropy
0,0
0.01,0.00032404
0.02,0.00126848
0.03,0.00275394
0.04,0.00472303
0.05,0.00720566
0.06,0.00984646
0.07,0.0130879
0.08,0.0165572
0.09,0.0203133
0.1,0.0241939
0.11,0.028096
0.12,0.0324283
0.13,0.0364495
0.14,0.0405956
0.15,0.0446804
0.16,0.049061
0.17,0.0530648
0.18,0.0573913
0.19,0.0608335
0.2,0.0647469
0.21,0.0686697
0.22,0.0725267
0.23,0.076178
0.24,0.0795982
0.25,0.083456
0.26,0.0865919
0.27,0.0900432
0.28,0.0939238
0.29,0.0975636
0.3,0.101063
0.31,0.104157
0.32,0.107707
0.33,0.111311
0.34,0.11478
0.35,0.118102
0.36,0.121577
0.37,0.124893
0.38,0.128252
0.39,0.131788
0.4,0.135341
0.41,0.138563
0.42,0.141984
0.43,0.145418
0.44,0.149208
0.45,0.153267
0.46,0.156242
0.47,0.159844
0.48,0.16378
0.49,0.166979
0.5,0.170562
0.51,0.174752
0.52,0.178307
0.53,0.182244
0.54,0.185962
0.55,0.189717
0.56,0.19417
0.57,0.198359
0.58,0.201759
0.59,0.206183
0.6,0.210258
0.61,0.214272
0.62,0.218512
0.63,0.222903
0.64,0.227745
0.65,0.23194
0.66,0.236635
0.67,0.241429
0.68,0.246216
0.69,0.250509
0.7,0.255645
0.71,0.260159
0.72,0.264987
0.73,0.270506
0.74,0.275175
0.75,0.279922
0.76,0.284107
0.77,0.289762
0.78,0.295404
0.79,0.30104
0.8,0.30481
0.81,0.310245
0.82,0.316816
0.83,0.321092
0.84,0.326421
0.85,0.331631
0.86,0.336699
0.87,0.341703
0.88,0.346784
0.89,0.351944
0.9,0.357257
0.91,0.36176
0.92,0.366322
0.93,0.371684
0.94,0.3769
0.95,0.381447
0.96,0.386181
0.97,0.390299
0.98,0.395401
0.99,0.400162
