x,y,mass
0,0,0.499998
0,0.01,0.501639
0,0.02,0.504168
0,0.03,0.506079
0,0.04,0.507185
0,0.05,0.508938
0,0.06,0.511372
0,0.07,0.511406
0,0.08,0.513082
0,0.09,0.515417
0,0.1,0.51664
0,0.11,0.517145
0,0.12,0.518283
0,0.13,0.519639
0,0.14,0.52134
0,0.15,0.522801
0,0.16,0.52325
0,0.17,0.52506
0,0.18,0.526368
0,0.19,0.526556
0,0.2,0.527438
0,0.21,0.52916
0,0.22,0.529944
0,0.23,0.531027
0,0.24,0.531191
0,0.25,0.532785
0,0.26,0.533599
0,0.27,0.533517
0,0.28,0.534205
0,0.29,0.536052
0,0.3,0.536716
0,0.31,0.536365
0,0.32,0.537221
0,0.33,0.53875
0,0.34,0.538181
0,0.35,0.538715
0,0.36,0.53969
0,0.37,0.540743
0,0.38,0.540869
0,0.39,0.540965
0,0.4,0.540316
0,0.41,0.541287
0,0.42,0.542009
0,0.43,0.542246
0,0.44,0.542363
0,0.45,0.543013
0,0.46,0.542592
0,0.47,0.543466
0,0.48,0.542467
0,0.49,0.542582
0,0.5,0.542496
0,0.51,0.542848
0,0.52,0.543255
0,0.53,0.543124
0,0.54,0.542621
0,0.55,0.542103
0,0.56,0.542591
0,0.57,0.54229
0,0.58,0.541433
0,0.59,0.541116
0,0.6,0.541941
0,0.61,0.541705
0,0.62,0.539973
0,0.63,0.539683
0,0.64,0.539727
0,0.65,0.538228
0,0.66,0.537736
0,0.67,0.538505
0,0.68,0.537446
0,0.69,0.53636
0,0.7,0.535615
0,0.71,0.535401
0,0.72,0.53494
0,0.73,0.533626
0,0.74,0.533471
0,0.75,0.53306
0,0.76,0.531575
0,0.77,0.531725
0,0.78,0.52913
0,0.79,0.529205
0,0.8,0.527753
0,0.81,0.527406
0,0.82,0.526033
0,0.83,0.525145
0,0.84,0.523873
0,0.85,0.522359
0,0.86,0.521371
0,0.87,0.52038
0,0.88,0.518546
0,0.89,0.517387
0,0.9,0.51665
0,0.91,0.514184
0,0.92,0.513294
0,0.93,0.511554
0,0.94,0.510078
0,0.95,0.509095
0,0.96,0.507429
0,0.97,0.505663
0,0.98,0.503536
0,0.99,0.502357
0.01,0,0.501472
0.01,0.01,0.503385
0.01,0.02,0.505072
0.01,0.03,0.506682
0.01,0.04,0.508366
0.01,0.05,0.509953
0.01,0.06,0.511255
0.01,0.07,0.512838
0.01,0.08,0.514806
0.01,0.09,0.516542
0.01,0.1,0.516507
0.01,0.11,0.518436
0.01,0.12,0.520005
0.01,0.13,0.520761
0.01,0.14,0.521167
0.01,0.15,0.523341
0.01,0.16,0.524725
0.01,0.17,0.524898
0.01,0.18,0.526088
0.01,0.19,0.52684
0.01,0.2,0.528509
0.01,0.21,0.52815
0.01,0.22,0.530945
0.01,0.23,0.530596
0.01,0.24,0.532554
0.01,0.25,0.533504
0.01,0.26,0.533467
0.01,0.27,0.533951
0.01,0.28,0.53557
0.01,0.29,0.536256
0.01,0.3,0.53623
0.01,0.31,0.536223
0.01,0.32,0.537249
0.01,0.33,0.538053
0.01,0.34,0.537487
0.01,0.35,0.539245
0.01,0.36,0.540007
0.01,0.37,0.54044
0.01,0.38,0.540876
0.01,0.39,0.540664
0.01,0.4,0.54178
