r0,entropy
0.0001,0
0.00011,0
0.000121,0
0.0001331,0
0.00014641,0
0.000161051,0
0.000177156,0
0.000194872,0
0.000214359,0
0.000235795,0
0.000259374,0
0.000285312,0
0.000313843,0
0.000345227,0
0.00037975,0
0.000417725,0
0.000459497,0
0.000505447,0
0.000555992,0
0.000611591,0
0.00067275,0
0.000740025,0
0.000814027,0
0.00089543,0
0.000984973,0
0.00108347,0
0.00119182,0
0.001311,0
0.0014421,2.0202e-07
0.00158631,2.26263e-05
0.00174494,0.000276768
0.00191943,0.00130909
0.00211138,0.00358505
0.00232252,0.00647879
0.00255477,0.00909556
0.00281024,0.0105834
0.00309127,0.0107867
0.00340039,0.0100778
0.00374043,0.00912121
0.00411448,0.00872485
0.00452593,0.00868626
0.00497852,0.00902061
0.00547637,0.00930626
0.00602401,0.0102531
0.00662641,0.012136
0.00728905,0.0141634
0.00801795,0.0158521
0.00881975,0.0171937
0.00970172,0.0178016
0.0106719,0.0180358
0.0117391,0.01762
0.012913,0.0177693
0.0142043,0.0180178
0.0156247,0.0187105
0.0171872,0.0202196
0.0189059,0.022883
0.0207965,0.0266012
0.0228762,0.0300396
0.0251638,0.0331014
0.0276801,0.0351588
0.0304482,0.0355127
0.033493,0.0354226
0.0368423,0.035398
0.0405265,0.0356109
0.0445792,0.0362143
0.0490371,0.0382366
0.0539408,0.0426016
0.0593349,0.0488523
0.0652683,0.056216
0.0717952,0.0630875
0.0789747,0.0681511
0.0868722,0.0707101
0.0955594,0.071099
0.105115,0.0708307
0.115627,0.071302
0.12719,0.0717529
0.139908,0.0744578
0.153899,0.0803315
0.169289,0.0906537
0.186218,0.10498
0.20484,0.119669
0.225324,0.131876
0.247856,0.139575
0.272642,0.142579
0.299906,0.142472
0.329897,0.141403
0.362887,0.143017
0.399175,0.145126
0.439093,0.152693
0.483002,0.168738
0.531302,0.194775
0.584432,0.224467
0.642876,0.250433
0.707163,0.270053
0.77788,0.276046
0.855668,0.267357
0.941234,0.245831
