r0,entropy
0,0
0.01,0.000168283
0.02,0.000658586
0.03,0.00143879
0.04,0.0025998
0.05,0.00391778
0.06,0.0056301
0.07,0.00766343
0.08,0.00986687
0.09,0.0123206
0.1,0.0151525
0.11,0.0181301
0.12,0.0214739
0.13,0.0249495
0.14,0.0287707
0.15,0.0326949
0.16,0.0369865
0.17,0.0412329
0.18,0.0457071
0.19,0.0506091
0.2,0.0557382
0.21,0.0606836
0.22,0.0660749
0.23,0.0713331
0.24,0.076824
0.25,0.0824109
0.26,0.0883269
0.27,0.0945121
0.28,0.101205
0.29,0.107174
0.3,0.113914
0.31,0.120531
0.32,0.12642
0.33,0.133289
0.34,0.140074
0.35,0.147582
0.36,0.153998
0.37,0.16107
0.38,0.168089
0.39,0.175797
0.4,0.181736
0.41,0.189164
0.42,0.196601
0.43,0.204096
0.44,0.21082
0.45,0.218893
0.46,0.225434
0.47,0.232352
0.48,0.240135
0.49,0.246967
0.5,0.254734
0.51,0.26197
0.52,0.270161
0.53,0.276238
0.54,0.283958
0.55,0.290718
0.56,0.296679
0.57,0.304078
0.58,0.311773
0.59,0.319799
0.6,0.325293
0.61,0.331598
0.62,0.337325
0.63,0.345697
0.64,0.351705
0.65,0.359431
0.66,0.36309
0.67,0.370974
0.68,0.377077
0.69,0.382124
0.7,0.387756
0.71,0.39473
0.72,0.399307
0.73,0.405298
0.74,0.409892
0.75,0.415993
0.76,0.420264
0.77,0.426062
0.78,0.432839
0.79,0.437035
0.8,0.440182
0.81,0.445505
0.82,0.449219
0.83,0.454014
0.84,0.457869
0.85,0.462298
0.86,0.466383
0.87,0.469132
0.88,0.473013
0.89,0.476412
0.9,0.480213
0.91,0.483647
0.92,0.486824
0.93,0.490691
0.94,0.49249
0.95,0.495576
0.96,0.499212
0.97,0.501798
0.98,0.504337
0.99,0.506127
