r0,entropy
0.0001,0.00876869
0.00011,0.00992
0.000121,0.0099701
0.0001331,0.00940283
0.00014641,0.00838263
0.000161051,0.00694121
0.000177156,0.00565232
0.000194872,0.00446525
0.000214359,0.00347616
0.000235795,0.00261354
0.000259374,0.00201131
0.000285312,0.00148889
0.000313843,0.00111838
0.000345227,0.00104646
0.00037975,0.00155354
0.000417725,0.00312283
0.000459497,0.00594485
0.000505447,0.0100107
0.000555992,0.0143838
0.000611591,0.0179406
0.00067275,0.0200434
0.000740025,0.0200495
0.000814027,0.0184996
0.00089543,0.0160774
0.000984973,0.0134794
0.00108347,0.0108352
0.00119182,0.0086299
0.001311,0.00667818
0.0014421,0.00506525
0.00158631,0.00379293
0.00174494,0.00285111
0.00191943,0.00217354
0.00211138,0.00213657
0.00232252,0.00345253
0.00255477,0.00689616
0.00281024,0.0131352
0.00309127,0.0213594
0.00340039,0.0301814
0.00374043,0.0368511
0.00411448,0.0399317
0.00452593,0.0396446
0.00497852,0.0364259
0.00547637,0.0314525
0.00602401,0.026136
0.00662641,0.0209554
0.00728905,0.016563
0.00801795,0.0126881
0.00881975,0.0096804
0.00970172,0.00731798
0.0106719,0.00540465
0.0117391,0.00423111
0.012913,0.00442101
0.0142043,0.00771071
0.0156247,0.0154087
0.0171872,0.0285626
0.0189059,0.0457545
0.0207965,0.0627517
0.0228762,0.0749919
0.0251638,0.080158
0.0276801,0.0788584
0.0304482,0.0709594
0.033493,0.0610731
0.0368423,0.0504721
0.0405265,0.0405717
0.0445792,0.0318331
0.0490371,0.0243111
0.0539408,0.0186164
0.0593349,0.0138434
0.0652683,0.0103594
0.0717952,0.00827152
0.0789747,0.00952869
0.0868722,0.0169879
0.0955594,0.0346368
0.105115,0.0623545
0.115627,0.0967909
0.12719,0.130177
0.139908,0.153678
0.153899,0.160671
0.169289,0.155273
0.186218,0.139879
0.20484,0.119304
0.225324,0.0978063
0.247856,0.0779349
0.272642,0.0605226
0.299906,0.0467974
0.329897,0.0353461
0.362887,0.0265257
0.399175,0.0195826
0.439093,0.0163018
0.483002,0.0204263
0.531302,0.0383725
0.584432,0.0765347
0.642876,0.135397
0.707163,0.205326
0.77788,0.269364
0.855668,0.31056
0.941234,0.322254
