r0,entropy
0.001,0.00935515
0.0011,0.0073204
0.00121,0.00557495
0.001331,0.00424141
0.0014641,0.00319212
0.00161051,0.00229515
0.00177156,0.00181354
0.00194872,0.00205434
0.00214359,0.00376
0.00235795,0.00789434
0.00259374,0.0147612
0.00285312,0.023404
0.00313843,0.0320897
0.00345227,0.0382339
0.0037975,0.0404541
0.00417725,0.0392127
0.00459497,0.0350901
0.00505447,0.030118
0.00555992,0.0247848
0.00611591,0.0198669
0.0067275,0.0155051
0.00740025,0.0119059
0.00814027,0.00901636
0.0089543,0.00667616
0.00984973,0.00500545
0.0108347,0.00385172
0.0119182,0.00385172
0.01311,0.00642182
0.014421,0.0133774
0.0158631,0.0261063
0.0174494,0.0432592
0.0191943,0.0606457
0.0211138,0.0740168
0.0232252,0.0805386
0.0255477,0.0791915
0.0281024,0.0727186
0.0309127,0.0628867
0.0340039,0.0522067
0.0374043,0.0419943
0.0411448,0.0327701
0.0452593,0.0251966
0.0497852,0.0190475
0.0547637,0.0144547
0.0602401,0.0107008
0.0662641,0.00805172
0.0728905,0.00722162
0.0801795,0.0109325
0.0881975,0.0225463
0.0970172,0.0449473
0.106719,0.0778731
0.117391,0.114069
0.12913,0.142809
0.142043,0.15922
0.156247,0.160341
0.171872,0.149379
0.189059,0.130164
0.207965,0.10916
0.228762,0.0884747
0.251638,0.0694448
0.276801,0.0537547
0.304482,0.0410321
0.33493,0.030796
0.368423,0.0227713
0.405265,0.016998
0.445792,0.0144507
0.490371,0.0190778
0.539408,0.0382642
0.593349,0.0786774
0.652683,0.140484
0.717952,0.211168
0.789747,0.274618
0.868722,0.314844
0.955594,0.322869
