r0,entropy
0,0
0.01,0.00251196
0.02,0.00951543
0.03,0.0204215
0.04,0.0346076
0.05,0.0512819
0.06,0.0700809
0.07,0.0903711
0.08,0.111735
0.09,0.133963
0.1,0.156512
0.11,0.178622
0.12,0.200559
0.13,0.222503
0.14,0.243212
0.15,0.262798
0.16,0.281982
0.17,0.299917
0.18,0.316239
0.19,0.332209
0.2,0.346885
0.21,0.360649
0.22,0.372429
0.23,0.383883
0.24,0.394639
0.25,0.404156
0.26,0.412723
0.27,0.420854
0.28,0.42727
0.29,0.434159
0.3,0.439706
0.31,0.444734
0.32,0.449004
0.33,0.452298
0.34,0.455908
0.35,0.458145
0.36,0.460243
0.37,0.462053
0.38,0.463127
0.39,0.463743
0.4,0.463927
0.41,0.464292
0.42,0.464045
0.43,0.463051
0.44,0.462261
0.45,0.460662
0.46,0.459309
0.47,0.457541
0.48,0.4555
0.49,0.453576
0.5,0.451295
0.51,0.448519
0.52,0.445693
0.53,0.443342
0.54,0.440154
0.55,0.437283
0.56,0.433732
0.57,0.430347
0.58,0.426942
0.59,0.423468
0.6,0.42
0.61,0.416792
0.62,0.412987
0.63,0.409066
0.64,0.405858
0.65,0.401826
0.66,0.39807
0.67,0.394622
0.68,0.390644
0.69,0.386687
0.7,0.383138
0.71,0.379419
0.72,0.375532
0.73,0.371579
0.74,0.368024
0.75,0.364089
0.76,0.360687
0.77,0.356907
0.78,0.352998
0.79,0.349596
0.8,0.346162
0.81,0.342843
0.82,0.338702
0.83,0.335175
0.84,0.331723
0.85,0.327803
0.86,0.324433
0.87,0.321501
0.88,0.318012
0.89,0.315182
0.9,0.31148
0.91,0.308567
0.92,0.30473
0.93,0.302022
0.94,0.298523
0.95,0.295385
0.96,0.292537
0.97,0.289482
0.98,0.286557
0.99,0.283385
