r0,entropy
0,0
0.01,0.00126958
0.02,0.00496842
0.03,0.0108684
0.04,0.0188176
0.05,0.0285346
0.06,0.039894
0.07,0.0526721
0.08,0.0666962
0.09,0.081692
0.1,0.097856
0.11,0.114524
0.12,0.131965
0.13,0.149982
0.14,0.168178
0.15,0.18663
0.16,0.20496
0.17,0.223158
0.18,0.241327
0.19,0.259808
0.2,0.27793
0.21,0.294862
0.22,0.312067
0.23,0.328373
0.24,0.343731
0.25,0.35929
0.26,0.373721
0.27,0.387495
0.28,0.39979
0.29,0.412108
0.3,0.423544
0.31,0.434227
0.32,0.444007
0.33,0.453582
0.34,0.461473
0.35,0.469339
0.36,0.476016
0.37,0.481859
0.38,0.48743
0.39,0.492336
0.4,0.496092
0.41,0.499969
0.42,0.502779
0.43,0.505306
0.44,0.507468
0.45,0.508932
0.46,0.509776
0.47,0.510251
0.48,0.510279
0.49,0.510225
0.5,0.509554
0.51,0.508861
0.52,0.507636
0.53,0.505928
0.54,0.50431
0.55,0.502012
0.56,0.500026
0.57,0.497775
0.58,0.495224
0.59,0.492289
0.6,0.489553
0.61,0.486599
0.62,0.483059
0.63,0.480016
0.64,0.476556
0.65,0.472838
0.66,0.469688
0.67,0.465327
0.68,0.461782
0.69,0.458207
0.7,0.454457
0.71,0.450541
0.72,0.446413
0.73,0.442526
0.74,0.438687
0.75,0.434855
0.76,0.430988
0.77,0.427254
0.78,0.423027
0.79,0.419197
0.8,0.415297
0.81,0.411065
0.82,0.406903
0.83,0.403459
0.84,0.399624
0.85,0.395585
0.86,0.391798
0.87,0.388118
0.88,0.384027
0.89,0.380257
0.9,0.376932
0.91,0.372858
0.92,0.369124
0.93,0.365617
0.94,0.362108
0.95,0.358144
0.96,0.35486
0.97,0.350977
0.98,0.3478
0.99,0.344367
