r0,entropy
0.0001,1.21212e-06
0.00011,3.19192e-05
0.000121,0.000249293
0.0001331,0.000991919
0.00014641,0.0023
0.000161051,0.00377192
0.000177156,0.00487616
0.000194872,0.00532
0.000214359,0.00530303
0.000235795,0.00483879
0.000259374,0.00409131
0.000285312,0.00343717
0.000313843,0.00272222
0.000345227,0.0021299
0.00037975,0.00187576
0.000417725,0.00199293
0.000459497,0.00253172
0.000505447,0.00338465
0.000555992,0.00464545
0.000611591,0.00617677
0.00067275,0.00766747
0.000740025,0.00879475
0.000814027,0.00936525
0.00089543,0.00922505
0.000984973,0.00844707
0.00108347,0.00736364
0.00119182,0.00614343
0.001311,0.00504283
0.0014421,0.00424566
0.00158631,0.00405212
0.00174494,0.00461091
0.00191943,0.00584424
0.00211138,0.00804667
0.00232252,0.0108436
0.00255477,0.0138384
0.00281024,0.0164527
0.00309127,0.0182218
0.00340039,0.0187416
0.00374043,0.0176602
0.00411448,0.0158533
0.00452593,0.0136707
0.00497852,0.0112236
0.00547637,0.00921737
0.00602401,0.00817394
0.00662641,0.00861677
0.00728905,0.0103578
0.00801795,0.0134384
0.00881975,0.0183657
0.00970172,0.0243947
0.0106719,0.0303376
0.0117391,0.0349915
0.012913,0.0369933
0.0142043,0.0367303
0.0156247,0.0341651
0.0171872,0.0298584
0.0189059,0.0250533
0.0207965,0.0203339
0.0228762,0.0171836
0.0251638,0.0163194
0.0276801,0.0184909
0.0304482,0.0233592
0.033493,0.031058
0.0368423,0.0416396
0.0405265,0.0544469
0.0445792,0.0653212
0.0490371,0.0725251
0.0539408,0.074697
0.0593349,0.071463
0.0652683,0.0646507
0.0717952,0.0556246
0.0789747,0.0459218
0.0868722,0.0375236
0.0955594,0.0331014
0.105115,0.0339069
0.115627,0.040362
0.12719,0.0524729
0.139908,0.0715996
0.153899,0.0954343
0.169289,0.118895
0.186218,0.138785
0.20484,0.148606
0.225324,0.147752
0.247856,0.137079
0.272642,0.120732
0.299906,0.101963
0.329897,0.0836622
0.362887,0.0693937
0.399175,0.0654925
0.439093,0.0722103
0.483002,0.0907689
0.531302,0.121139
0.584432,0.164489
0.642876,0.213779
0.707163,0.257
0.77788,0.288182
0.855668,0.298603
0.941234,0.288544
