r0,entropy
0,0
0.01,0.00163295
0.02,0.00626602
0.03,0.0136074
0.04,0.0231867
0.05,0.0346755
0.06,0.0477039
0.07,0.0622567
0.08,0.0776524
0.09,0.093811
0.1,0.110207
0.11,0.127296
0.12,0.14421
0.13,0.161084
0.14,0.177746
0.15,0.194182
0.16,0.209596
0.17,0.224399
0.18,0.238761
0.19,0.252216
0.2,0.264212
0.21,0.275997
0.22,0.286617
0.23,0.296329
0.24,0.30539
0.25,0.313167
0.26,0.32041
0.27,0.326474
0.28,0.332832
0.29,0.337547
0.3,0.34143
0.31,0.345661
0.32,0.349012
0.33,0.351708
0.34,0.353928
0.35,0.355344
0.36,0.356736
0.37,0.35759
0.38,0.358401
0.39,0.358327
0.4,0.358165
0.41,0.357654
0.42,0.356956
0.43,0.355895
0.44,0.354493
0.45,0.352845
0.46,0.351002
0.47,0.349184
0.48,0.346919
0.49,0.344795
0.5,0.34161
0.51,0.339066
0.52,0.33607
0.53,0.332769
0.54,0.330034
0.55,0.326324
0.56,0.322957
0.57,0.319544
0.58,0.315584
0.59,0.311739
0.6,0.308485
0.61,0.304298
0.62,0.30038
0.63,0.295978
0.64,0.291747
0.65,0.287997
0.66,0.284176
0.67,0.280232
0.68,0.275838
0.69,0.271715
0.7,0.267634
0.71,0.263412
0.72,0.259252
0.73,0.254863
0.74,0.251294
0.75,0.247434
0.76,0.242927
0.77,0.239123
0.78,0.235322
0.79,0.231641
0.8,0.227514
0.81,0.223135
0.82,0.219596
0.83,0.21584
0.84,0.21217
0.85,0.20887
0.86,0.205587
0.87,0.201492
0.88,0.198346
0.89,0.194817
0.9,0.191682
0.91,0.187568
0.92,0.184899
0.93,0.18166
0.94,0.177989
0.95,0.175229
0.96,0.172362
0.97,0.169464
0.98,0.166379
0.99,0.163374
