r0,entropy
0,0
0.01,0.000419838
0.02,0.00165996
0.03,0.00368085
0.04,0.00640756
0.05,0.00987331
0.06,0.0140122
0.07,0.0187795
0.08,0.0241342
0.09,0.0300331
0.1,0.0365078
0.11,0.0434098
0.12,0.0508519
0.13,0.0585505
0.14,0.0668042
0.15,0.0754338
0.16,0.0843147
0.17,0.0935417
0.18,0.102913
0.19,0.112596
0.2,0.122569
0.21,0.132652
0.22,0.142768
0.23,0.153101
0.24,0.163568
0.25,0.174036
0.26,0.184485
0.27,0.19523
0.28,0.205526
0.29,0.215765
0.3,0.226596
0.31,0.236706
0.32,0.247188
0.33,0.25741
0.34,0.267025
0.35,0.27681
0.36,0.28626
0.37,0.296198
0.38,0.305057
0.39,0.314539
0.4,0.322553
0.41,0.331069
0.42,0.339266
0.43,0.346969
0.44,0.354329
0.45,0.361281
0.46,0.368401
0.47,0.375166
0.48,0.381002
0.49,0.386811
0.5,0.392285
0.51,0.39685
0.52,0.401493
0.53,0.406065
0.54,0.410185
0.55,0.413893
0.56,0.416311
0.57,0.419214
0.58,0.421586
0.59,0.423636
0.6,0.425724
0.61,0.427173
0.62,0.427708
0.63,0.42851
0.64,0.429121
0.65,0.428895
0.66,0.428631
0.67,0.428154
0.68,0.427535
0.69,0.426622
0.7,0.425252
0.71,0.42381
0.72,0.422146
0.73,0.420177
0.74,0.418199
0.75,0.415795
0.76,0.413134
0.77,0.410611
0.78,0.407556
0.79,0.404856
0.8,0.401741
0.81,0.398693
0.82,0.395316
0.83,0.391767
0.84,0.388468
0.85,0.385038
0.86,0.38114
0.87,0.377625
0.88,0.374004
0.89,0.370277
0.9,0.366177
0.91,0.362389
0.92,0.358503
0.93,0.354498
0.94,0.35059
0.95,0.346304
0.96,0.342644
0.97,0.338447
0.98,0.334651
0.99,0.330702
